t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.128,-102.905,-70.813,-5.982,57.236,-141.008,320.887,-675.374,683.314,89.674,-39.154,12.313
0.013,-45.128,-102.905,-70.813,-5.982,57.236,-141.006,320.890,-675.375,683.310,89.675,-39.156,12.312
0.024,-45.129,-102.905,-70.813,-5.982,57.236,-141.004,320.886,-675.374,683.315,89.674,-39.158,12.312
0.034,-45.129,-102.905,-70.813,-5.982,57.236,-141.003,320.887,-675.378,683.308,89.675,-39.159,12.312
0.043,-45.128,-102.905,-70.813,-5.982,57.236,-141.002,320.891,-675.376,683.307,89.675,-39.159,12.312
0.054,-45.128,-102.905,-70.813,-5.982,57.236,-141.002,320.892,-675.376,683.309,89.675,-39.159,12.313
0.063,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.891,-675.378,683.308,89.675,-39.159,12.312
0.073,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.892,-675.379,683.304,89.675,-39.159,12.312
0.084,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.891,-675.380,683.304,89.675,-39.159,12.312
0.093,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.891,-675.382,683.301,89.676,-39.159,12.312
0.104,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.890,-675.380,683.305,89.675,-39.160,12.312
0.114,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.892,-675.382,683.301,89.676,-39.159,12.312
0.123,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.891,-675.381,683.302,89.676,-39.159,12.312
0.133,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.891,-675.381,683.303,89.676,-39.159,12.312
0.143,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.892,-675.378,683.305,89.675,-39.160,12.312
0.154,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.891,-675.378,683.305,89.675,-39.160,12.312
0.164,-45.129,-102.905,-70.813,-5.982,57.236,-141.002,320.889,-675.378,683.306,89.676,-39.160,12.312
0.174,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.891,-675.379,683.304,89.676,-39.160,12.312
0.184,-45.129,-102.905,-70.813,-5.982,57.236,-141.002,320.890,-675.376,683.307,89.675,-39.160,12.312
0.195,-45.129,-102.905,-70.813,-5.982,57.236,-141.002,320.891,-675.376,683.307,89.676,-39.160,12.312
0.203,-45.128,-102.905,-70.813,-5.982,57.236,-141.002,320.891,-675.373,683.312,89.675,-39.160,12.313
0.214,-45.129,-102.905,-70.813,-5.982,57.236,-141.002,320.889,-675.373,683.312,89.675,-39.160,12.313
0.224,-45.128,-102.905,-70.813,-5.982,57.237,-141.002,320.895,-675.375,683.307,89.675,-39.160,12.313
0.234,-45.129,-102.905,-70.813,-5.982,57.237,-141.002,320.892,-675.375,683.309,89.675,-39.160,12.313
0.244,-45.129,-102.905,-70.813,-5.982,57.236,-141.002,320.891,-675.375,683.309,89.675,-39.160,12.313
0.254,-45.128,-102.905,-70.813,-5.982,57.237,-141.002,320.897,-675.375,683.305,89.675,-39.160,12.313
0.263,-45.129,-102.905,-70.813,-5.982,57.237,-141.002,320.894,-675.377,683.305,89.675,-39.160,12.313
0.274,-45.128,-102.905,-70.813,-5.982,57.237,-141.002,320.897,-675.376,683.304,89.676,-39.160,12.313
0.284,-45.129,-102.906,-70.813,-5.982,57.237,-141.002,320.895,-675.378,683.305,89.675,-39.160,12.313
0.294,-45.129,-102.906,-70.813,-5.982,57.237,-141.002,320.892,-675.379,683.304,89.675,-39.160,12.312
0.304,-45.129,-102.906,-70.813,-5.982,57.237,-141.002,320.898,-675.379,683.299,89.676,-39.159,12.313
0.314,-45.129,-102.906,-70.813,-5.982,57.237,-141.002,320.898,-675.380,683.300,89.676,-39.160,12.312
0.323,-45.129,-102.906,-70.813,-5.982,57.237,-141.002,320.898,-675.379,683.300,89.676,-39.159,12.313
0.334,-45.129,-102.906,-70.813,-5.983,57.237,-141.002,320.895,-675.380,683.299,89.676,-39.159,12.312
0.343,-45.129,-102.906,-70.813,-5.982,57.237,-141.001,320.897,-675.378,683.300,89.676,-39.160,12.313
0.353,-45.129,-102.906,-70.813,-5.982,57.237,-141.002,320.897,-675.380,683.298,89.676,-39.159,12.313
0.364,-45.129,-102.906,-70.813,-5.983,57.237,-141.002,320.899,-675.380,683.297,89.677,-39.159,12.313
0.374,-45.129,-102.906,-70.813,-5.982,57.237,-141.001,320.896,-675.379,683.302,89.676,-39.160,12.313
0.382,-45.129,-102.906,-70.814,-5.982,57.237,-141.002,320.900,-675.381,683.294,89.677,-39.159,12.312
0.394,-45.129,-102.906,-70.813,-5.982,57.237,-141.001,320.896,-675.378,683.301,89.676,-39.160,12.313
0.403,-45.128,-102.906,-70.813,-5.982,57.237,-141.001,320.899,-675.377,683.302,89.676,-39.160,12.313
0.414,-45.128,-102.906,-70.813,-5.982,57.237,-141.001,320.898,-675.377,683.302,89.676,-39.160,12.313
0.424,-45.128,-102.905,-70.813,-5.982,57.236,-141.001,320.895,-675.376,683.304,89.676,-39.160,12.312
0.433,-45.129,-102.906,-70.813,-5.982,57.237,-141.001,320.895,-675.378,683.304,89.676,-39.160,12.312
0.444,-45.129,-102.905,-70.813,-5.982,57.237,-141.001,320.894,-675.377,683.306,89.676,-39.160,12.313
0.453,-45.128,-102.905,-70.813,-5.983,57.236,-141.002,320.894,-675.375,683.306,89.676,-39.160,12.312
0.464,-45.129,-102.906,-70.813,-5.982,57.236,-141.001,320.894,-675.378,683.302,89.676,-39.160,12.312
0.473,-45.129,-102.905,-70.813,-5.982,57.237,-141.001,320.891,-675.378,683.306,89.676,-39.160,12.312
0.484,-45.129,-102.905,-70.813,-5.982,57.237,-141.001,320.893,-675.378,683.304,89.676,-39.160,12.312
0.494,-45.129,-102.906,-70.813,-5.982,57.237,-141.001,320.895,-675.378,683.305,89.675,-39.160,12.313
0.504,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.892,-675.380,683.300,89.676,-39.160,12.312
0.514,-45.129,-102.906,-70.813,-5.982,57.236,-141.002,320.893,-675.381,683.300,89.676,-39.159,12.312
