t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.007,-45.110,-102.930,-70.806,-6.030,57.228,-141.012,321.276,-675.487,682.899,89.746,-39.115,12.278
0.016,-45.110,-102.931,-70.806,-6.030,57.227,-141.012,321.285,-675.491,682.885,89.748,-39.114,12.277
0.026,-45.109,-102.931,-70.806,-6.030,57.227,-141.012,321.288,-675.491,682.880,89.748,-39.114,12.277
0.036,-45.109,-102.932,-70.806,-6.031,57.225,-141.013,321.292,-675.495,682.868,89.750,-39.112,12.274
0.046,-45.108,-102.932,-70.806,-6.031,57.224,-141.018,321.298,-675.494,682.862,89.750,-39.107,12.273
0.056,-45.107,-102.932,-70.806,-6.031,57.224,-141.022,321.302,-675.490,682.865,89.750,-39.103,12.274
0.066,-45.107,-102.932,-70.806,-6.031,57.224,-141.035,321.300,-675.484,682.875,89.749,-39.090,12.275
0.076,-45.106,-102.931,-70.806,-6.031,57.224,-141.046,321.296,-675.478,682.888,89.748,-39.079,12.276
0.086,-45.106,-102.931,-70.806,-6.031,57.223,-141.050,321.293,-675.477,682.891,89.748,-39.076,12.276
0.096,-45.106,-102.931,-70.805,-6.031,57.224,-141.055,321.293,-675.475,682.895,89.748,-39.070,12.276
0.105,-45.107,-102.931,-70.806,-6.031,57.224,-141.056,321.286,-675.478,682.892,89.748,-39.070,12.275
0.115,-45.107,-102.931,-70.806,-6.031,57.223,-141.056,321.285,-675.481,682.888,89.749,-39.070,12.275
0.126,-45.108,-102.931,-70.806,-6.031,57.223,-141.056,321.274,-675.487,682.886,89.749,-39.070,12.273
0.136,-45.108,-102.931,-70.806,-6.032,57.223,-141.056,321.263,-675.491,682.885,89.749,-39.070,12.272
0.145,-45.109,-102.931,-70.806,-6.032,57.222,-141.056,321.255,-675.495,682.883,89.750,-39.069,12.271
0.156,-45.110,-102.931,-70.806,-6.032,57.222,-141.056,321.243,-675.502,682.881,89.750,-39.069,12.269
0.166,-45.110,-102.931,-70.806,-6.032,57.221,-141.056,321.231,-675.504,682.884,89.750,-39.069,12.268
0.176,-45.110,-102.931,-70.806,-6.032,57.221,-141.056,321.238,-675.507,682.873,89.751,-39.069,12.267
0.185,-45.110,-102.932,-70.806,-6.032,57.220,-141.056,321.236,-675.510,682.869,89.751,-39.068,12.267
0.196,-45.110,-102.932,-70.807,-6.033,57.219,-141.056,321.234,-675.516,682.859,89.753,-39.068,12.264
0.206,-45.110,-102.932,-70.807,-6.033,57.218,-141.056,321.234,-675.517,682.853,89.753,-39.067,12.263
0.215,-45.111,-102.933,-70.807,-6.033,57.215,-141.056,321.222,-675.529,682.837,89.755,-39.067,12.259
0.226,-45.111,-102.933,-70.807,-6.033,57.214,-141.056,321.217,-675.532,682.834,89.755,-39.067,12.257
0.235,-45.111,-102.933,-70.807,-6.033,57.214,-141.056,321.215,-675.531,682.837,89.755,-39.067,12.257
0.245,-45.110,-102.933,-70.807,-6.033,57.213,-141.056,321.213,-675.526,682.845,89.754,-39.067,12.258
0.256,-45.110,-102.932,-70.807,-6.033,57.212,-141.056,321.205,-675.521,682.856,89.753,-39.068,12.258
0.265,-45.110,-102.932,-70.807,-6.032,57.212,-141.056,321.198,-675.520,682.863,89.752,-39.068,12.257
0.276,-45.111,-102.931,-70.807,-6.032,57.211,-141.056,321.182,-675.521,682.870,89.751,-39.068,12.256
0.285,-45.113,-102.931,-70.807,-6.032,57.210,-141.056,321.154,-675.529,682.875,89.751,-39.069,12.254
0.295,-45.114,-102.931,-70.807,-6.032,57.207,-141.056,321.128,-675.537,682.874,89.751,-39.069,12.250
0.306,-45.117,-102.930,-70.807,-6.032,57.198,-141.056,321.054,-675.555,682.880,89.750,-39.069,12.239
0.315,-45.121,-102.929,-70.807,-6.032,57.180,-141.056,320.911,-675.584,682.902,89.748,-39.070,12.217
0.325,-45.125,-102.927,-70.807,-6.032,57.165,-141.056,320.786,-675.610,682.920,89.746,-39.071,12.200
0.336,-45.138,-102.924,-70.806,-6.031,57.120,-141.056,320.407,-675.700,682.965,89.742,-39.073,12.144
0.346,-45.162,-102.919,-70.806,-6.030,57.053,-141.056,319.785,-675.858,683.031,89.736,-39.076,12.057
0.355,-45.182,-102.916,-70.806,-6.030,57.010,-141.057,319.336,-675.979,683.080,89.731,-39.078,11.998
0.365,-45.243,-102.904,-70.806,-6.029,56.901,-141.057,318.046,-676.329,683.228,89.717,-39.085,11.836
0.376,-45.352,-102.886,-70.806,-6.028,56.734,-141.059,315.874,-676.954,683.442,89.699,-39.094,11.571
0.385,-45.429,-102.875,-70.806,-6.028,56.624,-141.059,314.397,-677.387,683.578,89.687,-39.100,11.392
0.396,-45.623,-102.847,-70.808,-6.029,56.364,-141.060,310.736,-678.460,683.899,89.661,-39.114,10.954
0.406,-45.861,-102.817,-70.808,-6.031,56.064,-141.061,306.356,-679.763,684.250,89.632,-39.130,10.434
0.416,-46.000,-102.802,-70.808,-6.032,55.897,-141.061,303.857,-680.519,684.425,89.618,-39.139,10.137
0.427,-46.307,-102.765,-70.811,-6.033,55.541,-141.062,298.353,-682.120,684.839,89.584,-39.159,9.496
0.436,-46.632,-102.724,-70.812,-6.033,55.170,-141.062,292.517,-683.741,685.330,89.542,-39.184,8.826
0.446,-46.800,-102.700,-70.813,-6.033,54.983,-141.061,289.512,-684.536,685.602,89.520,-39.198,8.486
0.456,-47.149,-102.655,-70.815,-6.034,54.609,-141.061,283.339,-686.168,686.115,89.478,-39.225,7.789
0.466,-47.505,-102.616,-70.815,-6.035,54.252,-141.062,277.190,-687.810,686.565,89.441,-39.249,7.099
0.475,-47.688,-102.601,-70.815,-6.035,54.078,-141.061,274.102,-688.654,686.752,89.426,-39.259,6.752
0.486,-48.035,-102.578,-70.816,-6.034,53.753,-141.061,268.287,-690.262,687.017,89.404,-39.276,6.094
0.495,-48.361,-102.570,-70.811,-6.033,53.473,-141.061,263.023,-691.797,687.161,89.391,-39.287,5.497
0.505,-48.519,-102.567,-70.811,-6.032,53.352,-141.061,260.535,-692.532,687.196,89.388,-39.290,5.219
0.516,-48.817,-102.555,-70.812,-6.033,53.154,-141.060,255.950,-693.854,687.312,89.380,-39.298,4.728
0.525,-49.126,-102.542,-70.813,-6.033,53.006,-141.061,251.447,-695.157,687.463,89.368,-39.306,4.279
0.536,-49.240,-102.538,-70.814,-6.034,52.972,-141.061,249.886,-695.634,687.498,89.366,-39.308,4.133
0.546,-49.480,-102.536,-70.814,-6.035,52.945,-141.061,246.837,-696.666,687.517,89.365,-39.308,3.866
0.556,-49.684,-102.538,-70.815,-6.037,52.964,-141.061,244.457,-697.560,687.472,89.370,-39.305,3.677
0.566,-49.776,-102.540,-70.815,-6.038,52.978,-141.061,243.407,-697.966,687.441,89.374,-39.302,3.597
0.576,-49.939,-102.543,-70.815,-6.041,53.011,-141.061,241.600,-698.674,687.402,89.379,-39.299,3.464
0.586,-50.071,-102.549,-70.815,-6.041,53.053,-141.061,240.214,-699.264,687.333,89.385,-39.296,3.370
0.596,-50.121,-102.553,-70.815,-6.041,53.077,-141.061,239.734,-699.504,687.282,89.389,-39.293,3.341
0.605,-50.199,-102.565,-70.815,-6.043,53.127,-141.061,239.091,-699.911,687.129,89.404,-39.284,3.304
0.617,-50.247,-102.581,-70.815,-6.049,53.166,-141.061,238.783,-700.235,686.915,89.427,-39.271,3.280
0.626,-50.266,-102.590,-70.815,-6.052,53.179,-141.061,238.675,-700.384,686.786,89.440,-39.263,3.266
0.636,-50.294,-102.612,-70.815,-6.059,53.185,-141.061,238.496,-700.667,686.506,89.469,-39.246,3.226
0.646,-50.312,-102.636,-70.814,-6.061,53.177,-141.061,238.392,-700.915,686.225,89.494,-39.232,3.184
0.656,-50.318,-102.649,-70.812,-6.060,53.176,-141.061,238.389,-701.029,686.089,89.505,-39.226,3.171
0.666,-50.332,-102.668,-70.810,-6.058,53.174,-141.061,238.322,-701.228,685.878,89.521,-39.216,3.144
0.676,-50.357,-102.674,-70.809,-6.057,53.176,-141.060,238.055,-701.369,685.827,89.525,-39.214,3.119
0.687,-50.375,-102.673,-70.806,-6.056,53.179,-141.060,237.832,-701.429,685.881,89.519,-39.218,3.107
0.696,-50.419,-102.667,-70.791,-6.054,53.185,-141.061,237.270,-701.539,686.110,89.496,-39.231,3.084
0.705,-50.454,-102.657,-70.762,-6.052,53.196,-141.062,236.786,-701.554,686.541,89.453,-39.254,3.087
0.716,-50.468,-102.649,-70.741,-6.052,53.206,-141.062,236.571,-701.518,686.858,89.423,-39.271,3.101
0.726,-50.497,-102.623,-70.674,-6.049,53.246,-141.063,236.147,-701.318,687.885,89.323,-39.327,3.176
0.736,-50.522,-102.580,-70.553,-6.048,53.323,-141.065,235.746,-700.876,689.670,89.150,-39.421,3.337
0.746,-50.537,-102.556,-70.472,-6.048,53.379,-141.066,235.550,-700.606,690.812,89.039,-39.482,3.449
0.756,-50.566,-102.505,-70.253,-6.047,53.541,-141.066,235.299,-699.912,693.728,88.751,-39.638,3.766
0.766,-50.582,-102.443,-69.981,-6.043,53.792,-141.067,235.449,-698.958,697.338,88.389,-39.828,4.232
0.776,-50.582,-102.408,-69.825,-6.044,53.949,-141.068,235.709,-698.373,699.395,88.183,-39.933,4.522
0.786,-50.574,-102.331,-69.480,-6.045,54.331,-141.069,236.519,-697.009,703.945,87.722,-40.159,5.208
0.796,-50.560,-102.252,-69.076,-6.048,54.789,-141.073,237.619,-695.430,709.153,87.185,-40.406,6.027
0.806,-50.551,-102.214,-68.851,-6.048,55.044,-141.077,238.262,-694.569,711.992,86.887,-40.536,6.482
0.815,-50.529,-102.141,-68.370,-6.048,55.602,-141.093,239.762,-692.714,717.980,86.249,-40.792,7.477
0.826,-50.510,-102.067,-67.878,-6.050,56.194,-141.116,241.324,-690.768,724.084,85.588,-41.030,8.518
0.836,-50.504,-102.035,-67.613,-6.055,56.493,-141.128,242.061,-689.782,727.271,85.241,-41.149,9.050
0.846,-50.503,-101.979,-67.069,-6.064,57.095,-141.152,243.402,-687.818,733.714,84.529,-41.379,10.119
0.856,-50.511,-101.929,-66.547,-6.063,57.685,-141.168,244.614,-685.906,739.898,83.826,-41.593,11.164
0.865,-50.514,-101.909,-66.290,-6.065,57.974,-141.172,245.237,-684.976,742.880,83.483,-41.693,11.676
0.876,-50.518,-101.873,-65.767,-6.071,58.526,-141.178,246.366,-683.085,748.870,82.790,-41.889,12.682
0.886,-50.533,-101.837,-65.281,-6.077,59.038,-141.184,247.217,-681.289,754.483,82.134,-42.059,13.613
0.896,-50.547,-101.819,-65.058,-6.081,59.273,-141.188,247.508,-680.471,757.066,81.830,-42.132,14.036
0.906,-50.594,-101.798,-64.631,-6.092,59.698,-141.198,247.786,-679.078,761.843,81.266,-42.258,14.788
0.916,-50.671,-101.780,-64.248,-6.114,60.050,-141.209,247.502,-677.991,766.058,80.775,-42.361,15.390
0.925,-50.718,-101.777,-64.078,-6.127,60.203,-141.214,247.228,-677.603,767.864,80.566,-42.401,15.634
0.935,-50.835,-101.780,-63.799,-6.163,60.457,-141.226,246.407,-677.207,770.683,80.249,-42.452,15.982
0.946,-50.979,-101.786,-63.576,-6.212,60.645,-141.239,245.123,-677.173,772.806,80.027,-42.480,16.172
0.956,-51.062,-101.787,-63.492,-6.238,60.718,-141.245,244.314,-677.291,773.577,79.953,-42.486,16.210
0.966,-51.245,-101.796,-63.370,-6.297,60.829,-141.254,242.487,-677.794,774.575,79.876,-42.483,16.188
0.975,-51.440,-101.805,-63.312,-6.357,60.904,-141.254,240.525,-678.570,774.862,79.885,-42.468,16.061
0.986,-51.538,-101.807,-63.308,-6.389,60.928,-141.253,239.520,-679.021,774.771,79.921,-42.454,15.962
0.995,-51.736,-101.812,-63.328,-6.466,60.952,-141.251,237.462,-680.051,774.229,80.046,-42.414,15.704
1.006,-51.888,-101.825,-63.352,-6.537,60.955,-141.250,235.902,-680.977,773.564,80.180,-42.373,15.465
1.016,-51.967,-101.837,-63.365,-6.573,60.956,-141.249,235.129,-681.501,773.149,80.256,-42.350,15.335
1.026,-52.111,-101.869,-63.394,-6.638,60.959,-141.248,233.788,-682.559,772.229,80.413,-42.303,15.089
1.036,-52.226,-101.903,-63.421,-6.680,60.967,-141.247,232.801,-683.470,771.381,80.541,-42.262,14.896
1.046,-52.267,-101.921,-63.428,-6.687,60.974,-141.247,232.490,-683.820,771.069,80.581,-42.249,14.834
1.056,-52.318,-101.946,-63.436,-6.685,60.986,-141.245,232.128,-684.256,770.698,80.619,-42.237,14.771
1.066,-52.347,-101.965,-63.437,-6.685,60.993,-141.244,231.941,-684.536,770.468,80.642,-42.230,14.734
1.075,-52.359,-101.972,-63.436,-6.684,60.994,-141.243,231.837,-684.639,770.405,80.648,-42.228,14.718
1.086,-52.382,-101.974,-63.435,-6.683,60.995,-141.242,231.577,-684.743,770.394,80.648,-42.229,14.696
1.095,-52.399,-101.973,-63.430,-6.681,60.994,-141.242,231.353,-684.786,770.464,80.637,-42.233,14.686
