t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.007,-45.129,-102.910,-70.811,-6.026,57.230,-141.063,320.919,-675.462,683.106,89.726,-39.073,12.274
0.017,-45.129,-102.910,-70.811,-6.026,57.230,-141.063,320.919,-675.464,683.103,89.727,-39.073,12.273
0.027,-45.129,-102.910,-70.811,-6.026,57.230,-141.063,320.920,-675.463,683.105,89.726,-39.073,12.274
0.037,-45.129,-102.911,-70.812,-6.026,57.230,-141.063,320.923,-675.466,683.097,89.727,-39.073,12.273
0.046,-45.129,-102.910,-70.812,-6.026,57.230,-141.063,320.922,-675.465,683.099,89.727,-39.073,12.273
0.056,-45.129,-102.911,-70.812,-6.026,57.230,-141.063,320.925,-675.465,683.097,89.727,-39.073,12.273
0.067,-45.129,-102.911,-70.811,-6.026,57.230,-141.063,320.925,-675.465,683.099,89.727,-39.073,12.273
0.076,-45.129,-102.911,-70.811,-6.026,57.230,-141.063,320.926,-675.466,683.097,89.727,-39.073,12.273
0.086,-45.128,-102.911,-70.812,-6.026,57.230,-141.063,320.928,-675.466,683.095,89.728,-39.073,12.273
0.096,-45.129,-102.911,-70.812,-6.026,57.231,-141.063,320.926,-675.468,683.093,89.728,-39.073,12.273
0.106,-45.129,-102.911,-70.812,-6.026,57.231,-141.063,320.929,-675.468,683.090,89.728,-39.072,12.273
0.117,-45.129,-102.911,-70.811,-6.026,57.230,-141.063,320.927,-675.467,683.094,89.728,-39.072,12.273
0.127,-45.129,-102.911,-70.812,-6.026,57.231,-141.064,320.927,-675.466,683.095,89.728,-39.072,12.273
0.137,-45.129,-102.911,-70.812,-6.026,57.230,-141.064,320.923,-675.466,683.098,89.727,-39.072,12.273
0.146,-45.129,-102.910,-70.811,-6.026,57.230,-141.064,320.922,-675.462,683.106,89.726,-39.073,12.274
0.156,-45.129,-102.910,-70.811,-6.026,57.230,-141.064,320.921,-675.465,683.102,89.727,-39.073,12.273
0.166,-45.129,-102.910,-70.811,-6.026,57.231,-141.064,320.921,-675.463,683.104,89.727,-39.073,12.274
0.177,-45.129,-102.910,-70.811,-6.026,57.231,-141.063,320.919,-675.461,683.109,89.726,-39.073,12.274
0.186,-45.129,-102.910,-70.811,-6.026,57.231,-141.063,320.919,-675.461,683.110,89.726,-39.073,12.274
0.198,-45.129,-102.910,-70.811,-6.026,57.230,-141.063,320.918,-675.462,683.109,89.726,-39.073,12.274
0.206,-45.129,-102.910,-70.811,-6.026,57.231,-141.063,320.920,-675.459,683.114,89.726,-39.073,12.275
0.216,-45.129,-102.910,-70.811,-6.026,57.230,-141.063,320.917,-675.461,683.111,89.726,-39.073,12.274
0.226,-45.129,-102.910,-70.811,-6.026,57.230,-141.064,320.921,-675.461,683.107,89.726,-39.073,12.274
0.236,-45.129,-102.910,-70.811,-6.026,57.230,-141.063,320.920,-675.463,683.106,89.726,-39.073,12.274
0.246,-45.128,-102.910,-70.811,-6.026,57.230,-141.063,320.923,-675.462,683.105,89.727,-39.073,12.274
0.256,-45.129,-102.910,-70.811,-6.026,57.231,-141.063,320.924,-675.464,683.101,89.727,-39.073,12.274
0.267,-45.129,-102.911,-70.811,-6.026,57.230,-141.064,320.924,-675.465,683.101,89.727,-39.073,12.274
0.276,-45.129,-102.911,-70.812,-6.026,57.230,-141.064,320.926,-675.466,683.095,89.727,-39.072,12.273
0.287,-45.129,-102.911,-70.812,-6.026,57.231,-141.064,320.926,-675.465,683.097,89.727,-39.072,12.273
0.296,-45.129,-102.911,-70.812,-6.026,57.230,-141.063,320.927,-675.468,683.092,89.728,-39.072,12.273
0.306,-45.129,-102.911,-70.812,-6.026,57.230,-141.064,320.925,-675.465,683.097,89.727,-39.072,12.273
0.316,-45.129,-102.911,-70.812,-6.026,57.231,-141.063,320.928,-675.468,683.092,89.728,-39.072,12.273
0.326,-45.129,-102.911,-70.812,-6.026,57.230,-141.064,320.926,-675.466,683.095,89.727,-39.072,12.273
0.337,-45.129,-102.911,-70.812,-6.026,57.230,-141.063,320.924,-675.468,683.095,89.728,-39.073,12.273
0.346,-45.129,-102.911,-70.812,-6.026,57.230,-141.063,320.923,-675.466,683.096,89.727,-39.073,12.273
