t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.008,-45.130,-102.895,-70.794,-6.027,57.226,-141.027,320.770,-675.340,683.468,89.692,-39.126,12.290
0.018,-45.130,-102.895,-70.794,-6.027,57.226,-141.028,320.768,-675.341,683.470,89.692,-39.126,12.290
0.028,-45.130,-102.895,-70.794,-6.026,57.226,-141.028,320.764,-675.341,683.473,89.691,-39.126,12.290
0.038,-45.130,-102.895,-70.795,-6.026,57.226,-141.028,320.770,-675.340,683.467,89.692,-39.125,12.290
0.048,-45.130,-102.895,-70.795,-6.026,57.226,-141.028,320.772,-675.344,683.460,89.693,-39.125,12.290
0.058,-45.130,-102.895,-70.795,-6.027,57.226,-141.028,320.775,-675.343,683.458,89.693,-39.125,12.290
0.068,-45.130,-102.896,-70.795,-6.027,57.226,-141.028,320.778,-675.347,683.449,89.694,-39.125,12.289
0.077,-45.129,-102.896,-70.795,-6.026,57.226,-141.028,320.782,-675.346,683.448,89.694,-39.124,12.290
0.089,-45.129,-102.896,-70.795,-6.027,57.226,-141.028,320.784,-675.343,683.449,89.694,-39.125,12.290
0.098,-45.129,-102.896,-70.795,-6.027,57.226,-141.028,320.785,-675.343,683.451,89.694,-39.124,12.290
0.107,-45.129,-102.896,-70.795,-6.027,57.226,-141.028,320.784,-675.343,683.451,89.694,-39.124,12.290
0.118,-45.129,-102.895,-70.795,-6.026,57.226,-141.028,320.783,-675.339,683.458,89.693,-39.125,12.291
0.128,-45.129,-102.895,-70.795,-6.027,57.226,-141.028,320.785,-675.340,683.455,89.693,-39.124,12.290
0.137,-45.129,-102.895,-70.795,-6.026,57.226,-141.028,320.782,-675.340,683.456,89.693,-39.125,12.290
0.148,-45.129,-102.896,-70.795,-6.026,57.226,-141.028,320.787,-675.341,683.452,89.693,-39.124,12.291
0.157,-45.129,-102.895,-70.796,-6.026,57.226,-141.028,320.787,-675.341,683.450,89.694,-39.124,12.290
0.168,-45.129,-102.895,-70.796,-6.026,57.226,-141.028,320.781,-675.343,683.451,89.693,-39.125,12.290
0.177,-45.129,-102.896,-70.796,-6.026,57.226,-141.028,320.785,-675.343,683.449,89.694,-39.124,12.290
0.187,-45.129,-102.896,-70.796,-6.026,57.226,-141.028,320.781,-675.345,683.448,89.694,-39.124,12.290
0.198,-45.129,-102.895,-70.796,-6.026,57.226,-141.028,320.782,-675.343,683.451,89.693,-39.124,12.290
0.207,-45.129,-102.895,-70.796,-6.026,57.227,-141.028,320.780,-675.342,683.453,89.693,-39.124,12.290
0.217,-45.129,-102.895,-70.795,-6.026,57.227,-141.028,320.782,-675.342,683.455,89.693,-39.125,12.291
0.228,-45.129,-102.895,-70.795,-6.026,57.227,-141.028,320.785,-675.341,683.455,89.693,-39.125,12.291
0.238,-45.129,-102.896,-70.796,-6.026,57.227,-141.028,320.787,-675.343,683.448,89.694,-39.124,12.290
0.248,-45.129,-102.896,-70.796,-6.026,57.227,-141.028,320.791,-675.345,683.441,89.694,-39.124,12.291
0.257,-45.129,-102.896,-70.796,-6.026,57.227,-141.029,320.796,-675.350,683.430,89.695,-39.123,12.290
0.268,-45.129,-102.896,-70.796,-6.026,57.227,-141.029,320.796,-675.348,683.431,89.695,-39.123,12.290
0.277,-45.129,-102.896,-70.796,-6.026,57.227,-141.029,320.797,-675.349,683.430,89.695,-39.123,12.290
0.288,-45.129,-102.896,-70.796,-6.026,57.227,-141.029,320.797,-675.349,683.430,89.695,-39.123,12.290
0.297,-45.129,-102.897,-70.796,-6.026,57.227,-141.029,320.801,-675.349,683.427,89.696,-39.123,12.290
0.308,-45.129,-102.897,-70.797,-6.026,57.228,-141.029,320.804,-675.348,683.426,89.695,-39.123,12.291
0.317,-45.129,-102.897,-70.796,-6.026,57.228,-141.029,320.806,-675.349,683.427,89.695,-39.123,12.291
0.327,-45.129,-102.897,-70.796,-6.026,57.228,-141.029,320.805,-675.350,683.425,89.696,-39.123,12.291
0.338,-45.129,-102.897,-70.796,-6.026,57.228,-141.029,320.806,-675.353,683.421,89.696,-39.123,12.291
0.348,-45.130,-102.897,-70.796,-6.025,57.229,-141.029,320.802,-675.356,683.423,89.695,-39.123,12.291
0.358,-45.130,-102.897,-70.796,-6.025,57.230,-141.029,320.796,-675.355,683.430,89.694,-39.123,12.292
0.368,-45.132,-102.896,-70.795,-6.023,57.232,-141.029,320.774,-675.357,683.457,89.691,-39.125,12.294
0.377,-45.136,-102.893,-70.792,-6.022,57.234,-141.029,320.708,-675.353,683.525,89.683,-39.128,12.297
0.388,-45.142,-102.890,-70.790,-6.021,57.235,-141.029,320.617,-675.353,683.604,89.675,-39.132,12.297
0.398,-45.157,-102.879,-70.783,-6.021,57.236,-141.030,320.368,-675.348,683.812,89.656,-39.142,12.297
0.408,-45.192,-102.850,-70.769,-6.022,57.239,-141.030,319.748,-675.335,684.302,89.612,-39.164,12.291
0.417,-45.222,-102.827,-70.761,-6.024,57.240,-141.030,319.231,-675.326,684.679,89.578,-39.180,12.284
0.427,-45.318,-102.758,-70.744,-6.027,57.242,-141.030,317.628,-675.372,685.682,89.489,-39.224,12.246
0.438,-45.491,-102.648,-70.722,-6.031,57.245,-141.031,314.829,-675.550,687.251,89.349,-39.292,12.164
0.448,-45.630,-102.564,-70.703,-6.033,57.247,-141.031,312.617,-675.697,688.482,89.239,-39.346,12.099
0.458,-45.897,-102.410,-70.665,-6.035,57.250,-141.031,308.382,-676.029,690.760,89.030,-39.446,11.966
0.467,-46.280,-102.216,-70.612,-6.037,57.256,-141.034,302.506,-676.629,693.681,88.761,-39.574,11.760
0.478,-46.498,-102.107,-70.580,-6.037,57.258,-141.035,299.154,-676.953,695.348,88.606,-39.647,11.643
0.488,-46.976,-101.866,-70.505,-6.042,57.266,-141.038,291.821,-677.574,699.054,88.262,-39.807,11.393
0.498,-47.516,-101.608,-70.417,-6.048,57.274,-141.041,283.611,-678.269,703.079,87.885,-39.982,11.103
0.508,-47.804,-101.478,-70.370,-6.051,57.282,-141.042,279.293,-678.649,705.135,87.690,-40.071,10.948
0.518,-48.381,-101.208,-70.273,-6.054,57.293,-141.043,270.554,-679.230,709.405,87.281,-40.258,10.646
0.528,-48.960,-100.941,-70.180,-6.057,57.306,-141.045,261.819,-679.731,713.571,86.879,-40.439,10.340
0.538,-49.248,-100.816,-70.135,-6.059,57.313,-141.045,257.538,-680.000,715.519,86.690,-40.523,10.181
0.547,-49.787,-100.589,-70.050,-6.066,57.324,-141.046,249.552,-680.465,719.100,86.342,-40.677,9.879
0.557,-50.283,-100.379,-69.980,-6.074,57.335,-141.046,242.238,-680.815,722.295,86.032,-40.813,9.598
0.568,-50.550,-100.267,-69.950,-6.080,57.342,-141.046,238.310,-680.997,723.916,85.876,-40.881,9.439
0.578,-50.934,-100.109,-69.918,-6.088,57.355,-141.047,232.739,-681.253,726.099,85.666,-40.970,9.207
0.587,-51.309,-99.944,-69.911,-6.089,57.374,-141.048,227.296,-681.427,728.103,85.469,-41.052,8.979
0.597,-51.436,-99.888,-69.915,-6.088,57.383,-141.049,225.469,-681.487,728.720,85.409,-41.077,8.900
0.608,-51.721,-99.765,-69.934,-6.086,57.409,-141.049,221.446,-681.635,729.983,85.285,-41.128,8.723
0.618,-51.920,-99.688,-69.946,-6.086,57.439,-141.049,218.742,-681.791,730.773,85.208,-41.158,8.605
0.628,-52.005,-99.660,-69.951,-6.086,57.457,-141.050,217.652,-681.895,731.045,85.181,-41.167,8.556
0.638,-52.217,-99.617,-69.960,-6.087,57.521,-141.050,215.163,-682.341,731.473,85.138,-41.179,8.435
0.647,-52.402,-99.612,-69.966,-6.086,57.608,-141.050,213.331,-682.984,731.477,85.135,-41.173,8.338
0.658,-52.497,-99.617,-69.971,-6.086,57.659,-141.050,212.471,-683.370,731.383,85.144,-41.165,8.289
0.668,-52.717,-99.633,-69.990,-6.086,57.780,-141.050,210.534,-684.326,731.011,85.179,-41.140,8.166
0.677,-52.944,-99.659,-70.021,-6.086,57.882,-141.050,208.514,-685.405,730.407,85.239,-41.106,8.002
0.688,-53.059,-99.677,-70.042,-6.086,57.927,-141.050,207.491,-686.009,729.978,85.283,-41.084,7.903
0.698,-53.397,-99.737,-70.114,-6.084,58.060,-141.050,204.535,-687.846,728.560,85.427,-41.013,7.603
0.708,-53.779,-99.816,-70.202,-6.083,58.207,-141.050,201.255,-690.022,726.725,85.613,-40.923,7.245
0.718,-53.990,-99.868,-70.253,-6.081,58.284,-141.050,199.469,-691.285,725.594,85.727,-40.870,7.038
0.727,-54.445,-100.002,-70.377,-6.080,58.458,-141.050,195.761,-694.214,722.733,86.017,-40.736,6.565
0.737,-54.970,-100.182,-70.526,-6.076,58.663,-141.050,191.615,-697.766,719.074,86.383,-40.568,6.007
0.748,-55.208,-100.271,-70.590,-6.074,58.760,-141.050,189.778,-699.424,717.351,86.554,-40.489,5.755
0.758,-55.847,-100.547,-70.759,-6.062,59.039,-141.050,185.053,-704.114,712.335,87.043,-40.266,5.078
0.768,-56.462,-100.848,-70.906,-6.041,59.339,-141.051,180.709,-708.809,707.270,87.522,-40.048,4.453
0.778,-56.778,-101.016,-70.973,-6.027,59.507,-141.051,178.567,-711.295,704.589,87.771,-39.934,4.146
0.788,-57.434,-101.412,-71.099,-5.989,59.902,-141.051,174.440,-716.744,698.618,88.314,-39.689,3.536
0.798,-57.972,-101.736,-71.197,-5.951,60.266,-141.051,171.138,-721.147,693.774,88.744,-39.496,3.088
0.808,-58.255,-101.905,-71.241,-5.927,60.484,-141.051,169.693,-723.063,691.711,88.924,-39.416,2.914
0.818,-58.787,-102.232,-71.309,-5.864,60.946,-141.051,166.524,-727.654,686.837,89.328,-39.236,2.583
0.828,-59.300,-102.549,-71.356,-5.763,61.484,-141.051,163.986,-731.646,682.798,89.625,-39.107,2.421
0.837,-59.481,-102.662,-71.367,-5.710,61.693,-141.051,163.145,-733.017,681.489,89.704,-39.073,2.398
