t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.126,-103.002,-70.820,-6.032,57.230,-141.044,321.586,-676.086,681.853,89.843,-39.034,12.202
0.011,-45.126,-103.002,-70.820,-6.032,57.230,-141.044,321.586,-676.082,681.859,89.842,-39.035,12.203
0.021,-45.126,-103.002,-70.820,-6.032,57.230,-141.044,321.583,-676.084,681.859,89.842,-39.035,12.203
0.032,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.585,-676.087,681.854,89.842,-39.034,12.203
0.041,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.581,-676.085,681.858,89.842,-39.034,12.203
0.051,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.580,-676.087,681.858,89.842,-39.034,12.202
0.061,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.580,-676.083,681.863,89.841,-39.035,12.203
0.071,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.579,-676.083,681.865,89.841,-39.035,12.203
0.081,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.580,-676.083,681.863,89.842,-39.035,12.203
0.091,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.579,-676.085,681.861,89.842,-39.035,12.203
0.100,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.575,-676.086,681.861,89.842,-39.035,12.202
0.111,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.579,-676.087,681.856,89.842,-39.034,12.202
0.121,-45.127,-103.002,-70.820,-6.032,57.229,-141.044,321.576,-676.089,681.855,89.842,-39.034,12.202
0.131,-45.127,-103.002,-70.820,-6.032,57.229,-141.044,321.573,-676.090,681.855,89.842,-39.034,12.201
0.141,-45.127,-103.002,-70.820,-6.032,57.229,-141.044,321.576,-676.089,681.855,89.842,-39.034,12.202
0.151,-45.127,-103.002,-70.820,-6.032,57.229,-141.044,321.577,-676.086,681.859,89.842,-39.035,12.202
0.160,-45.127,-103.002,-70.820,-6.032,57.229,-141.044,321.575,-676.087,681.857,89.842,-39.034,12.202
0.171,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.577,-676.089,681.854,89.842,-39.034,12.202
0.181,-45.127,-103.002,-70.820,-6.032,57.230,-141.044,321.580,-676.088,681.852,89.843,-39.034,12.202
0.191,-45.127,-103.002,-70.821,-6.032,57.230,-141.044,321.581,-676.089,681.849,89.843,-39.034,12.202
0.201,-45.127,-103.002,-70.821,-6.032,57.230,-141.044,321.583,-676.088,681.848,89.843,-39.034,12.202
0.210,-45.127,-103.003,-70.821,-6.032,57.230,-141.044,321.584,-676.092,681.842,89.844,-39.034,12.201
0.221,-45.127,-103.002,-70.821,-6.032,57.230,-141.044,321.586,-676.090,681.841,89.844,-39.034,12.201
0.230,-45.127,-103.002,-70.821,-6.032,57.230,-141.044,321.586,-676.090,681.842,89.844,-39.034,12.202
0.241,-45.126,-103.003,-70.821,-6.032,57.229,-141.044,321.588,-676.091,681.839,89.844,-39.033,12.201
0.251,-45.126,-103.003,-70.821,-6.032,57.229,-141.044,321.589,-676.092,681.835,89.844,-39.033,12.201
0.260,-45.126,-103.003,-70.821,-6.032,57.229,-141.044,321.590,-676.093,681.834,89.844,-39.033,12.201
0.270,-45.126,-103.003,-70.822,-6.032,57.230,-141.044,321.590,-676.092,681.833,89.844,-39.033,12.201
0.280,-45.126,-103.003,-70.822,-6.033,57.229,-141.044,321.594,-676.097,681.821,89.846,-39.033,12.200
0.290,-45.127,-103.003,-70.822,-6.032,57.229,-141.044,321.591,-676.097,681.823,89.846,-39.033,12.200
0.300,-45.127,-103.003,-70.822,-6.032,57.229,-141.044,321.592,-676.098,681.822,89.846,-39.033,12.200
0.311,-45.127,-103.003,-70.821,-6.033,57.229,-141.044,321.586,-676.098,681.827,89.845,-39.033,12.200
0.321,-45.127,-103.003,-70.821,-6.032,57.229,-141.044,321.588,-676.097,681.828,89.845,-39.033,12.200
0.330,-45.127,-103.003,-70.821,-6.032,57.229,-141.045,321.582,-676.093,681.837,89.844,-39.033,12.200
0.340,-45.127,-103.002,-70.821,-6.032,57.229,-141.044,321.576,-676.094,681.843,89.843,-39.034,12.200
0.351,-45.127,-103.002,-70.821,-6.032,57.229,-141.044,321.570,-676.096,681.843,89.843,-39.034,12.200
0.360,-45.128,-103.002,-70.820,-6.032,57.228,-141.044,321.559,-676.096,681.854,89.842,-39.034,12.200
0.371,-45.129,-103.001,-70.820,-6.031,57.227,-141.044,321.536,-676.098,681.864,89.841,-39.035,12.198
0.380,-45.129,-103.001,-70.820,-6.031,57.227,-141.044,321.527,-676.096,681.876,89.840,-39.036,12.198
0.390,-45.132,-103.000,-70.819,-6.031,57.226,-141.044,321.485,-676.098,681.907,89.836,-39.037,12.197
0.400,-45.135,-102.998,-70.817,-6.030,57.225,-141.044,321.423,-676.105,681.945,89.832,-39.039,12.195
0.410,-45.138,-102.996,-70.816,-6.030,57.224,-141.044,321.375,-676.106,681.978,89.829,-39.041,12.194
0.420,-45.145,-102.993,-70.814,-6.030,57.220,-141.044,321.250,-676.121,682.044,89.823,-39.044,12.187
