t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.098,-102.996,-70.807,-6.027,57.231,-141.049,321.864,-675.858,682.090,89.816,-39.043,12.249
0.011,-45.098,-102.997,-70.807,-6.027,57.231,-141.049,321.866,-675.859,682.086,89.816,-39.043,12.249
0.021,-45.098,-102.997,-70.807,-6.027,57.231,-141.049,321.863,-675.860,682.087,89.816,-39.043,12.249
0.032,-45.098,-102.997,-70.807,-6.027,57.231,-141.049,321.864,-675.860,682.086,89.816,-39.043,12.249
0.041,-45.097,-102.997,-70.807,-6.027,57.232,-141.049,321.870,-675.857,682.088,89.816,-39.043,12.250
0.051,-45.097,-102.996,-70.807,-6.027,57.232,-141.049,321.869,-675.856,682.091,89.815,-39.043,12.250
0.060,-45.097,-102.996,-70.807,-6.027,57.232,-141.049,321.869,-675.854,682.093,89.815,-39.043,12.251
0.071,-45.097,-102.996,-70.806,-6.027,57.232,-141.049,321.869,-675.854,682.095,89.815,-39.043,12.251
0.081,-45.097,-102.996,-70.806,-6.027,57.232,-141.049,321.870,-675.853,682.096,89.815,-39.043,12.251
0.091,-45.097,-102.996,-70.806,-6.027,57.232,-141.049,321.871,-675.854,682.095,89.815,-39.043,12.251
0.101,-45.097,-102.996,-70.806,-6.027,57.232,-141.049,321.872,-675.853,682.095,89.815,-39.043,12.251
0.111,-45.097,-102.996,-70.806,-6.027,57.232,-141.049,321.871,-675.852,682.098,89.815,-39.043,12.252
0.121,-45.097,-102.996,-70.806,-6.027,57.233,-141.049,321.872,-675.849,682.105,89.814,-39.044,12.253
0.131,-45.097,-102.995,-70.806,-6.027,57.233,-141.049,321.868,-675.846,682.110,89.814,-39.044,12.253
0.141,-45.098,-102.995,-70.806,-6.027,57.232,-141.049,321.859,-675.844,682.121,89.813,-39.044,12.253
0.151,-45.098,-102.994,-70.805,-6.027,57.232,-141.049,321.853,-675.841,682.129,89.812,-39.044,12.253
0.161,-45.098,-102.994,-70.805,-6.027,57.232,-141.049,321.850,-675.842,682.132,89.812,-39.044,12.253
0.171,-45.098,-102.994,-70.805,-6.027,57.232,-141.049,321.850,-675.838,682.135,89.811,-39.045,12.253
0.181,-45.098,-102.994,-70.805,-6.026,57.232,-141.049,321.849,-675.837,682.140,89.811,-39.045,12.254
0.191,-45.098,-102.993,-70.805,-6.027,57.232,-141.049,321.845,-675.836,682.144,89.811,-39.045,12.254
0.201,-45.098,-102.994,-70.805,-6.027,57.233,-141.049,321.842,-675.839,682.143,89.811,-39.045,12.253
0.210,-45.099,-102.993,-70.805,-6.027,57.232,-141.049,321.834,-675.841,682.147,89.810,-39.045,12.253
0.220,-45.099,-102.993,-70.805,-6.027,57.232,-141.049,321.832,-675.839,682.150,89.810,-39.045,12.253
0.231,-45.099,-102.993,-70.804,-6.027,57.232,-141.050,321.824,-675.838,682.160,89.809,-39.046,12.254
0.240,-45.099,-102.993,-70.804,-6.027,57.232,-141.049,321.822,-675.835,682.168,89.808,-39.046,12.254
0.251,-45.099,-102.993,-70.804,-6.027,57.232,-141.050,321.822,-675.835,682.168,89.808,-39.046,12.254
0.261,-45.099,-102.993,-70.804,-6.027,57.232,-141.050,321.823,-675.837,682.166,89.809,-39.046,12.254
0.271,-45.099,-102.993,-70.804,-6.027,57.232,-141.049,321.825,-675.838,682.160,89.809,-39.046,12.253
0.281,-45.099,-102.993,-70.804,-6.027,57.233,-141.049,321.822,-675.838,682.164,89.809,-39.046,12.254
0.290,-45.100,-102.993,-70.804,-6.027,57.233,-141.049,321.821,-675.839,682.163,89.809,-39.046,12.254
0.301,-45.100,-102.993,-70.804,-6.027,57.233,-141.049,321.820,-675.841,682.161,89.809,-39.046,12.253
0.311,-45.100,-102.993,-70.804,-6.027,57.233,-141.050,321.818,-675.840,682.163,89.809,-39.046,12.253
0.320,-45.100,-102.993,-70.804,-6.027,57.233,-141.050,321.813,-675.842,682.165,89.809,-39.046,12.253
0.331,-45.101,-102.993,-70.804,-6.027,57.232,-141.050,321.803,-675.847,682.164,89.809,-39.045,12.252
0.341,-45.101,-102.993,-70.804,-6.027,57.232,-141.050,321.802,-675.844,682.169,89.808,-39.045,12.252
0.350,-45.102,-102.992,-70.803,-6.027,57.232,-141.050,321.788,-675.846,682.179,89.807,-39.046,12.252
0.361,-45.102,-102.992,-70.803,-6.026,57.232,-141.050,321.774,-675.845,682.190,89.806,-39.047,12.252
0.371,-45.103,-102.991,-70.802,-6.026,57.231,-141.050,321.762,-675.846,682.201,89.805,-39.047,12.251
0.380,-45.105,-102.991,-70.802,-6.026,57.231,-141.050,321.733,-675.852,682.213,89.804,-39.048,12.249
0.391,-45.107,-102.990,-70.801,-6.026,57.230,-141.050,321.691,-675.861,682.234,89.801,-39.049,12.248
0.400,-45.109,-102.989,-70.800,-6.026,57.229,-141.050,321.666,-675.865,682.245,89.800,-39.049,12.246
0.411,-45.113,-102.988,-70.799,-6.026,57.229,-141.050,321.603,-675.874,682.281,89.797,-39.051,12.244
0.421,-45.117,-102.984,-70.797,-6.026,57.228,-141.050,321.520,-675.874,682.343,89.791,-39.054,12.242
0.431,-45.120,-102.982,-70.796,-6.025,57.228,-141.050,321.475,-675.874,682.378,89.788,-39.056,12.242
0.441,-45.126,-102.979,-70.794,-6.025,57.228,-141.051,321.376,-675.879,682.448,89.781,-39.059,12.240
0.451,-45.131,-102.974,-70.791,-6.025,57.228,-141.051,321.282,-675.874,682.535,89.773,-39.062,12.240
0.461,-45.133,-102.973,-70.789,-6.025,57.227,-141.051,321.234,-675.874,682.575,89.769,-39.064,12.239
0.471,-45.139,-102.969,-70.785,-6.025,57.226,-141.051,321.134,-675.873,682.666,89.760,-39.069,12.238
0.481,-45.146,-102.964,-70.781,-6.025,57.222,-141.051,320.994,-675.874,682.773,89.750,-39.074,12.234
0.491,-45.150,-102.961,-70.778,-6.024,57.220,-141.051,320.912,-675.874,682.843,89.743,-39.077,12.232
0.500,-45.157,-102.954,-70.768,-6.024,57.216,-141.052,320.748,-675.859,683.031,89.725,-39.085,12.232
0.511,-45.165,-102.948,-70.752,-6.024,57.215,-141.051,320.588,-675.837,683.271,89.702,-39.097,12.238
0.521,-45.169,-102.945,-70.742,-6.024,57.214,-141.051,320.498,-675.827,683.412,89.688,-39.104,12.242
0.530,-45.180,-102.942,-70.711,-6.025,57.214,-141.051,320.299,-675.811,683.792,89.650,-39.123,12.255
0.541,-45.195,-102.939,-70.671,-6.024,57.214,-141.052,320.036,-675.814,684.251,89.603,-39.145,12.269
0.551,-45.204,-102.938,-70.649,-6.024,57.214,-141.052,319.886,-675.820,684.503,89.578,-39.158,12.276
0.560,-45.224,-102.937,-70.594,-6.025,57.214,-141.052,319.552,-675.840,685.097,89.518,-39.187,12.294
0.571,-45.254,-102.935,-70.527,-6.026,57.214,-141.053,319.085,-675.889,685.820,89.445,-39.223,12.310
0.581,-45.275,-102.936,-70.489,-6.026,57.215,-141.053,318.778,-675.945,686.225,89.403,-39.243,12.316
0.591,-45.322,-102.935,-70.407,-6.026,57.215,-141.054,318.091,-676.070,687.096,89.314,-39.286,12.325
0.600,-45.378,-102.935,-70.317,-6.027,57.216,-141.055,317.292,-676.225,688.061,89.215,-39.334,12.333
0.611,-45.409,-102.934,-70.272,-6.027,57.216,-141.055,316.841,-676.321,688.548,89.165,-39.358,12.334
0.621,-45.472,-102.933,-70.178,-6.027,57.217,-141.056,315.940,-676.504,689.553,89.062,-39.407,12.337
0.631,-45.533,-102.932,-70.080,-6.028,57.216,-141.057,315.042,-676.667,690.611,88.954,-39.458,12.344
0.640,-45.561,-102.931,-70.027,-6.028,57.215,-141.058,314.620,-676.724,691.183,88.895,-39.486,12.353
0.650,-45.610,-102.929,-69.917,-6.027,57.214,-141.061,313.840,-676.789,692.380,88.771,-39.543,12.382
0.661,-45.669,-102.927,-69.797,-6.028,57.214,-141.063,312.932,-676.896,693.665,88.639,-39.605,12.407
0.671,-45.704,-102.926,-69.735,-6.028,57.216,-141.064,312.403,-676.976,694.333,88.570,-39.637,12.417
0.681,-45.788,-102.925,-69.604,-6.029,57.217,-141.065,311.188,-677.198,695.727,88.425,-39.705,12.427
0.691,-45.877,-102.926,-69.467,-6.031,57.218,-141.065,309.909,-677.445,697.166,88.276,-39.776,12.434
0.701,-45.927,-102.927,-69.396,-6.032,57.218,-141.066,309.207,-677.593,697.902,88.200,-39.811,12.433
0.711,-46.033,-102.930,-69.239,-6.033,57.217,-141.067,307.700,-677.896,699.528,88.030,-39.890,12.436
0.721,-46.156,-102.929,-69.077,-6.035,57.218,-141.068,305.950,-678.255,701.253,87.850,-39.973,12.428
0.730,-46.223,-102.929,-68.992,-6.035,57.219,-141.070,305.005,-678.455,702.152,87.755,-40.016,12.423
0.741,-46.353,-102.930,-68.816,-6.035,57.218,-141.073,303.154,-678.824,703.998,87.560,-40.104,12.417
0.751,-46.475,-102.930,-68.640,-6.035,57.218,-141.075,301.388,-679.134,705.853,87.364,-40.192,12.422
0.761,-46.537,-102.929,-68.554,-6.036,57.217,-141.076,300.498,-679.290,706.765,87.268,-40.236,12.422
0.771,-46.672,-102.929,-68.358,-6.038,57.218,-141.079,298.541,-679.612,708.830,87.049,-40.332,12.429
0.782,-46.785,-102.927,-68.192,-6.039,57.218,-141.083,296.873,-679.862,710.601,86.861,-40.415,12.437
0.791,-46.845,-102.926,-68.097,-6.041,57.218,-141.084,295.982,-679.983,711.600,86.756,-40.461,12.445
0.801,-46.970,-102.928,-67.901,-6.042,57.219,-141.085,294.146,-680.243,713.643,86.536,-40.559,12.464
0.811,-47.094,-102.929,-67.693,-6.043,57.220,-141.086,292.290,-680.467,715.803,86.303,-40.662,12.492
0.821,-47.157,-102.930,-67.587,-6.043,57.219,-141.086,291.338,-680.571,716.914,86.184,-40.715,12.507
0.830,-47.291,-102.930,-67.368,-6.045,57.219,-141.088,289.322,-680.794,719.211,85.935,-40.823,12.534
0.841,-47.439,-102.927,-67.149,-6.046,57.220,-141.088,287.132,-681.050,721.534,85.683,-40.934,12.553
0.851,-47.513,-102.925,-67.040,-6.046,57.220,-141.088,286.017,-681.174,722.698,85.556,-40.989,12.562
0.862,-47.668,-102.924,-66.817,-6.047,57.220,-141.089,283.722,-681.453,725.045,85.300,-41.099,12.575
0.871,-47.821,-102.924,-66.590,-6.052,57.220,-141.089,281.449,-681.714,727.399,85.044,-41.209,12.590
0.881,-47.894,-102.925,-66.470,-6.056,57.220,-141.089,280.350,-681.814,728.625,84.910,-41.265,12.605
0.892,-48.035,-102.928,-66.224,-6.063,57.218,-141.089,278.193,-681.979,731.121,84.638,-41.380,12.642
0.901,-48.181,-102.930,-65.966,-6.074,57.219,-141.090,275.956,-682.113,733.756,84.352,-41.500,12.687
0.911,-48.252,-102.930,-65.834,-6.083,57.220,-141.090,274.839,-682.162,735.096,84.208,-41.559,12.711
0.921,-48.395,-102.931,-65.575,-6.101,57.222,-141.092,272.630,-682.254,737.724,83.927,-41.674,12.757
0.931,-48.533,-102.929,-65.325,-6.120,57.221,-141.094,270.460,-682.325,740.268,83.654,-41.783,12.800
0.940,-48.601,-102.929,-65.201,-6.128,57.221,-141.096,269.395,-682.349,741.531,83.518,-41.837,12.823
0.951,-48.732,-102.928,-64.949,-6.146,57.220,-141.102,267.297,-682.353,744.104,83.239,-41.944,12.877
0.961,-48.875,-102.929,-64.684,-6.168,57.220,-141.109,265.042,-682.401,746.744,82.955,-42.051,12.923
