t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-50.925,-102.908,-70.815,-6.454,57.221,-140.645,251.543,-704.886,681.423,90.192,-39.259,6.174
0.010,-50.925,-102.908,-70.815,-6.454,57.221,-140.646,251.540,-704.886,681.426,90.192,-39.258,6.175
0.020,-50.926,-102.908,-70.815,-6.454,57.221,-140.645,251.530,-704.895,681.418,90.193,-39.258,6.173
0.030,-50.926,-102.909,-70.816,-6.454,57.221,-140.645,251.532,-704.904,681.401,90.194,-39.257,6.172
0.042,-50.926,-102.909,-70.816,-6.454,57.221,-140.645,251.531,-704.906,681.397,90.195,-39.258,6.171
0.050,-50.926,-102.910,-70.816,-6.454,57.221,-140.645,251.539,-704.913,681.381,90.196,-39.256,6.170
0.060,-50.926,-102.911,-70.816,-6.454,57.221,-140.645,251.542,-704.917,681.374,90.197,-39.256,6.170
0.071,-50.926,-102.911,-70.816,-6.455,57.221,-140.645,251.552,-704.914,681.373,90.197,-39.257,6.170
0.080,-50.925,-102.910,-70.816,-6.454,57.221,-140.645,251.552,-704.908,681.385,90.196,-39.257,6.172
0.090,-50.924,-102.910,-70.816,-6.454,57.221,-140.645,251.567,-704.900,681.390,90.195,-39.257,6.174
0.100,-50.924,-102.910,-70.815,-6.454,57.221,-140.645,251.565,-704.895,681.400,90.194,-39.258,6.174
0.110,-50.923,-102.909,-70.815,-6.454,57.221,-140.645,251.572,-704.889,681.405,90.194,-39.258,6.175
0.120,-50.922,-102.909,-70.815,-6.454,57.221,-140.645,251.577,-704.885,681.408,90.194,-39.258,6.176
0.130,-50.922,-102.909,-70.816,-6.454,57.221,-140.645,251.582,-704.884,681.406,90.194,-39.258,6.176
0.140,-50.922,-102.908,-70.816,-6.454,57.221,-140.645,251.579,-704.880,681.411,90.193,-39.258,6.176
0.151,-50.922,-102.908,-70.816,-6.454,57.221,-140.645,251.575,-704.880,681.414,90.193,-39.258,6.176
0.160,-50.922,-102.908,-70.816,-6.454,57.221,-140.645,251.573,-704.880,681.415,90.193,-39.258,6.176
0.172,-50.923,-102.908,-70.815,-6.454,57.221,-140.645,251.563,-704.878,681.423,90.192,-39.259,6.176
0.180,-50.924,-102.907,-70.815,-6.454,57.221,-140.645,251.553,-704.877,681.432,90.191,-39.259,6.176
0.190,-50.924,-102.907,-70.815,-6.454,57.221,-140.645,251.548,-704.878,681.433,90.191,-39.259,6.176
0.200,-50.924,-102.908,-70.815,-6.454,57.221,-140.645,251.545,-704.884,681.426,90.192,-39.259,6.175
0.210,-50.925,-102.908,-70.815,-6.454,57.221,-140.645,251.542,-704.893,681.414,90.193,-39.258,6.173
0.220,-50.925,-102.909,-70.816,-6.454,57.221,-140.645,251.546,-704.898,681.401,90.194,-39.258,6.173
0.230,-50.925,-102.910,-70.817,-6.455,57.221,-140.645,251.551,-704.910,681.376,90.197,-39.256,6.171
0.240,-50.925,-102.911,-70.817,-6.455,57.221,-140.645,251.557,-704.917,681.363,90.198,-39.256,6.170
0.250,-50.925,-102.912,-70.817,-6.455,57.221,-140.645,251.558,-704.920,681.358,90.199,-39.256,6.170
0.260,-50.925,-102.912,-70.817,-6.455,57.221,-140.645,251.565,-704.920,681.353,90.199,-39.255,6.170
0.270,-50.924,-102.912,-70.817,-6.455,57.221,-140.645,251.571,-704.917,681.356,90.199,-39.256,6.171
0.280,-50.924,-102.912,-70.817,-6.455,57.221,-140.645,251.577,-704.915,681.357,90.199,-39.256,6.171
0.290,-50.924,-102.912,-70.816,-6.455,57.221,-140.645,251.582,-704.911,681.361,90.198,-39.256,6.172
0.300,-50.923,-102.912,-70.817,-6.455,57.221,-140.645,251.584,-704.911,681.359,90.199,-39.256,6.172
0.310,-50.923,-102.912,-70.817,-6.455,57.221,-140.645,251.588,-704.909,681.360,90.198,-39.256,6.172
0.320,-50.923,-102.911,-70.817,-6.455,57.221,-140.645,251.588,-704.908,681.362,90.198,-39.256,6.172
0.330,-50.923,-102.911,-70.817,-6.455,57.221,-140.645,251.590,-704.904,681.364,90.198,-39.256,6.173
0.344,-50.923,-102.911,-70.817,-6.455,57.221,-140.645,251.587,-704.901,681.369,90.198,-39.256,6.173
0.353,-50.922,-102.910,-70.816,-6.455,57.221,-140.645,251.587,-704.897,681.378,90.197,-39.257,6.174
0.373,-50.922,-102.910,-70.816,-6.455,57.221,-140.645,251.584,-704.894,681.384,90.196,-39.257,6.174
0.394,-50.923,-102.910,-70.816,-6.455,57.221,-140.646,251.580,-704.896,681.384,90.196,-39.256,6.174
0.408,-50.923,-102.910,-70.816,-6.455,57.221,-140.645,251.580,-704.893,681.389,90.196,-39.257,6.174
0.409,-50.923,-102.910,-70.816,-6.454,57.221,-140.645,251.584,-704.898,681.379,90.197,-39.256,6.174
0.410,-50.923,-102.910,-70.817,-6.455,57.221,-140.645,251.584,-704.901,681.372,90.197,-39.256,6.173
0.412,-50.923,-102.911,-70.817,-6.455,57.221,-140.645,251.591,-704.907,681.357,90.199,-39.255,6.172
0.423,-50.923,-102.912,-70.818,-6.455,57.221,-140.645,251.600,-704.916,681.336,90.201,-39.255,6.171
0.431,-50.922,-102.913,-70.818,-6.454,57.221,-140.645,251.603,-704.919,681.328,90.201,-39.254,6.171
0.441,-50.922,-102.914,-70.819,-6.454,57.221,-140.645,251.614,-704.930,681.301,90.204,-39.253,6.170
0.450,-50.922,-102.917,-70.820,-6.454,57.221,-140.645,251.636,-704.947,681.263,90.207,-39.252,6.168
0.460,-50.922,-102.918,-70.821,-6.454,57.221,-140.645,251.646,-704.957,681.237,90.210,-39.250,6.166
0.471,-50.922,-102.922,-70.823,-6.455,57.220,-140.645,251.672,-704.992,681.160,90.218,-39.246,6.161
0.480,-50.922,-102.930,-70.827,-6.457,57.220,-140.646,251.723,-705.061,681.010,90.233,-39.238,6.151
0.490,-50.922,-102.935,-70.831,-6.458,57.220,-140.645,251.760,-705.105,680.909,90.242,-39.234,6.145
0.500,-50.923,-102.950,-70.837,-6.456,57.219,-140.645,251.837,-705.227,680.664,90.264,-39.223,6.129
0.512,-50.923,-102.974,-70.839,-6.455,57.219,-140.645,251.981,-705.404,680.352,90.290,-39.209,6.112
0.520,-50.922,-102.990,-70.840,-6.455,57.219,-140.645,252.086,-705.522,680.144,90.309,-39.200,6.101
0.532,-50.921,-103.013,-70.843,-6.455,57.220,-140.645,252.248,-705.690,679.828,90.337,-39.186,6.085
0.541,-50.920,-103.040,-70.845,-6.455,57.221,-140.645,252.427,-705.886,679.468,90.369,-39.170,6.067
0.552,-50.918,-103.070,-70.851,-6.456,57.220,-140.646,252.639,-706.111,679.030,90.409,-39.149,6.043
0.562,-50.918,-103.087,-70.856,-6.456,57.220,-140.646,252.748,-706.239,678.767,90.433,-39.137,6.028
0.571,-50.919,-103.126,-70.871,-6.457,57.218,-140.646,252.977,-706.555,678.129,90.491,-39.107,5.988
0.581,-50.918,-103.167,-70.894,-6.457,57.215,-140.647,253.241,-706.895,677.370,90.561,-39.071,5.941
0.591,-50.919,-103.190,-70.908,-6.456,57.212,-140.647,253.376,-707.089,676.936,90.600,-39.051,5.914
0.601,-50.920,-103.237,-70.940,-6.455,57.209,-140.647,253.664,-707.485,676.026,90.684,-39.009,5.857
0.611,-50.921,-103.284,-70.985,-6.454,57.204,-140.647,253.965,-707.902,674.968,90.781,-38.959,5.789
0.622,-50.921,-103.310,-71.007,-6.453,57.200,-140.647,254.132,-708.133,674.410,90.833,-38.933,5.753
0.631,-50.922,-103.365,-71.052,-6.451,57.189,-140.647,254.447,-708.608,673.255,90.938,-38.879,5.675
0.641,-50.926,-103.425,-71.108,-6.450,57.169,-140.647,254.734,-709.156,671.917,91.060,-38.815,5.574
0.651,-50.927,-103.446,-71.131,-6.450,57.157,-140.647,254.818,-709.357,671.406,91.108,-38.790,5.532
0.661,-50.932,-103.496,-71.206,-6.450,57.122,-140.648,254.976,-709.867,669.992,91.241,-38.720,5.408
0.671,-50.939,-103.539,-71.285,-6.450,57.088,-140.648,255.096,-710.343,668.613,91.369,-38.652,5.287
0.681,-50.942,-103.557,-71.321,-6.449,57.076,-140.648,255.151,-710.543,668.010,91.426,-38.622,5.237
0.693,-50.949,-103.598,-71.418,-6.447,57.059,-140.648,255.338,-711.025,666.475,91.570,-38.546,5.123
0.702,-50.957,-103.634,-71.526,-6.445,57.055,-140.648,255.556,-711.483,664.876,91.720,-38.466,5.016
