t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.057,-102.917,-70.804,-6.028,57.248,-141.012,321.896,-675.076,683.089,89.728,-39.124,12.363
0.016,-45.057,-102.917,-70.805,-6.028,57.249,-141.011,321.903,-675.081,683.073,89.729,-39.123,12.362
0.029,-45.058,-102.918,-70.805,-6.029,57.249,-141.012,321.900,-675.094,683.054,89.732,-39.122,12.360
0.036,-45.058,-102.919,-70.806,-6.029,57.249,-141.014,321.909,-675.101,683.035,89.733,-39.119,12.359
0.047,-45.058,-102.920,-70.806,-6.029,57.249,-141.016,321.914,-675.104,683.025,89.735,-39.116,12.358
0.056,-45.056,-102.920,-70.806,-6.029,57.249,-141.021,321.932,-675.102,683.016,89.736,-39.110,12.359
0.066,-45.056,-102.920,-70.806,-6.030,57.249,-141.032,321.940,-675.098,683.016,89.736,-39.100,12.360
0.076,-45.055,-102.920,-70.806,-6.030,57.249,-141.038,321.943,-675.097,683.017,89.736,-39.094,12.360
0.087,-45.055,-102.920,-70.806,-6.029,57.249,-141.054,321.938,-675.095,683.024,89.735,-39.078,12.361
0.097,-45.054,-102.920,-70.806,-6.029,57.249,-141.071,321.937,-675.092,683.029,89.735,-39.061,12.361
0.106,-45.054,-102.920,-70.806,-6.029,57.249,-141.075,321.935,-675.092,683.032,89.734,-39.058,12.361
0.116,-45.052,-102.920,-70.806,-6.028,57.249,-141.075,321.959,-675.077,683.039,89.733,-39.058,12.364
0.126,-45.049,-102.920,-70.806,-6.028,57.248,-141.075,321.989,-675.059,683.040,89.733,-39.058,12.367
0.136,-45.047,-102.919,-70.806,-6.028,57.248,-141.075,322.010,-675.047,683.044,89.733,-39.059,12.369
0.146,-45.042,-102.919,-70.806,-6.027,57.248,-141.075,322.067,-675.012,683.055,89.731,-39.059,12.375
0.156,-45.033,-102.918,-70.806,-6.027,57.247,-141.075,322.173,-674.955,683.064,89.730,-39.059,12.385
0.167,-45.024,-102.918,-70.805,-6.027,57.247,-141.075,322.267,-674.903,683.075,89.729,-39.060,12.393
0.177,-45.007,-102.917,-70.805,-6.027,57.247,-141.075,322.458,-674.805,683.087,89.728,-39.061,12.411
0.186,-44.986,-102.917,-70.806,-6.027,57.246,-141.075,322.708,-674.687,683.076,89.729,-39.060,12.431
0.195,-44.974,-102.918,-70.806,-6.027,57.246,-141.074,322.853,-674.624,683.069,89.730,-39.060,12.442
0.208,-44.946,-102.919,-70.806,-6.027,57.246,-141.075,323.188,-674.474,683.049,89.732,-39.059,12.469
0.216,-44.912,-102.919,-70.806,-6.028,57.246,-141.075,323.594,-674.279,683.050,89.732,-39.059,12.503
0.227,-44.895,-102.919,-70.807,-6.027,57.246,-141.075,323.787,-674.192,683.041,89.733,-39.058,12.518
0.237,-44.863,-102.919,-70.806,-6.027,57.245,-141.075,324.163,-674.010,683.042,89.733,-39.058,12.550
0.247,-44.834,-102.920,-70.806,-6.028,57.244,-141.075,324.509,-673.846,683.037,89.733,-39.058,12.578
0.255,-44.820,-102.920,-70.806,-6.028,57.244,-141.075,324.673,-673.767,683.040,89.733,-39.058,12.592
0.266,-44.778,-102.920,-70.806,-6.028,57.243,-141.075,325.169,-673.533,683.031,89.734,-39.057,12.633
0.276,-44.720,-102.920,-70.806,-6.029,57.243,-141.075,325.843,-673.209,683.027,89.735,-39.057,12.689
