t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.046,-102.916,-70.795,-6.031,57.213,-141.079,321.828,-675.034,683.190,89.720,-39.061,12.342
0.016,-45.042,-102.917,-70.795,-6.031,57.212,-141.079,321.880,-675.021,683.172,89.722,-39.060,12.345
0.030,-45.041,-102.918,-70.795,-6.031,57.213,-141.079,321.905,-675.017,683.163,89.723,-39.059,12.346
0.037,-45.039,-102.919,-70.795,-6.031,57.213,-141.079,321.928,-675.015,683.153,89.724,-39.059,12.347
0.048,-45.039,-102.920,-70.795,-6.031,57.212,-141.079,321.932,-675.020,683.145,89.725,-39.058,12.346
0.056,-45.040,-102.920,-70.795,-6.031,57.212,-141.079,321.932,-675.027,683.136,89.726,-39.058,12.345
0.066,-45.040,-102.922,-70.795,-6.031,57.212,-141.079,321.935,-675.040,683.115,89.727,-39.057,12.344
0.077,-45.041,-102.924,-70.797,-6.031,57.212,-141.079,321.942,-675.059,683.077,89.731,-39.055,12.341
0.086,-45.041,-102.925,-70.797,-6.031,57.212,-141.079,321.950,-675.068,683.059,89.733,-39.055,12.339
0.096,-45.041,-102.927,-70.798,-6.032,57.212,-141.079,321.965,-675.082,683.027,89.736,-39.053,12.337
0.107,-45.040,-102.927,-70.797,-6.032,57.212,-141.079,321.970,-675.081,683.026,89.736,-39.052,12.338
0.115,-45.040,-102.926,-70.797,-6.032,57.212,-141.079,321.968,-675.076,683.034,89.735,-39.053,12.338
0.129,-45.040,-102.924,-70.796,-6.031,57.212,-141.079,321.950,-675.061,683.077,89.731,-39.055,12.341
0.136,-45.040,-102.922,-70.794,-6.031,57.212,-141.079,321.937,-675.039,683.122,89.727,-39.057,12.344
0.145,-45.040,-102.921,-70.794,-6.031,57.212,-141.079,321.934,-675.028,683.142,89.725,-39.058,12.346
0.157,-45.039,-102.919,-70.793,-6.031,57.212,-141.079,321.924,-675.011,683.172,89.722,-39.059,12.348
0.167,-45.038,-102.917,-70.793,-6.031,57.212,-141.079,321.921,-674.992,683.201,89.719,-39.061,12.350
0.177,-45.037,-102.916,-70.793,-6.031,57.212,-141.079,321.928,-674.982,683.209,89.719,-39.061,12.352
0.187,-45.035,-102.915,-70.793,-6.031,57.212,-141.079,321.945,-674.958,683.231,89.717,-39.063,12.356
0.196,-45.032,-102.913,-70.793,-6.031,57.212,-141.079,321.968,-674.933,683.249,89.715,-39.064,12.360
0.207,-45.031,-102.913,-70.793,-6.031,57.212,-141.079,321.982,-674.922,683.256,89.714,-39.064,12.361
0.215,-45.025,-102.911,-70.792,-6.030,57.212,-141.079,322.030,-674.876,683.289,89.711,-39.065,12.369
0.227,-45.019,-102.908,-70.792,-6.030,57.212,-141.079,322.088,-674.818,683.331,89.707,-39.067,12.378
0.237,-45.014,-102.906,-70.792,-6.031,57.212,-141.079,322.129,-674.777,683.357,89.705,-39.068,12.384
0.247,-45.001,-102.904,-70.791,-6.030,57.212,-141.079,322.266,-674.695,683.385,89.702,-39.070,12.398
0.257,-44.991,-102.905,-70.790,-6.031,57.212,-141.079,322.393,-674.642,683.381,89.703,-39.069,12.408
0.270,-44.986,-102.906,-70.790,-6.031,57.212,-141.079,322.457,-674.621,683.367,89.704,-39.069,12.412
0.277,-44.977,-102.908,-70.790,-6.031,57.212,-141.079,322.582,-674.583,683.338,89.707,-39.067,12.420
0.287,-44.974,-102.909,-70.791,-6.031,57.212,-141.079,322.624,-674.578,683.313,89.710,-39.066,12.421
0.303,-44.975,-102.910,-70.791,-6.032,57.212,-141.079,322.620,-674.583,683.307,89.710,-39.065,12.420
