t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-44.946,-102.967,-70.778,-6.022,57.205,-141.059,323.288,-674.776,682.779,89.747,-39.068,12.419
0.014,-44.945,-102.965,-70.778,-6.022,57.205,-141.059,323.281,-674.765,682.800,89.745,-39.068,12.420
0.024,-44.944,-102.964,-70.778,-6.022,57.205,-141.059,323.282,-674.746,682.825,89.743,-39.070,12.423
0.034,-44.942,-102.964,-70.778,-6.022,57.206,-141.059,323.310,-674.735,682.820,89.743,-39.069,12.425
0.044,-44.941,-102.964,-70.778,-6.022,57.205,-141.059,323.322,-674.737,682.811,89.744,-39.069,12.425
0.054,-44.940,-102.967,-70.779,-6.022,57.206,-141.059,323.356,-674.747,682.768,89.748,-39.067,12.424
0.066,-44.939,-102.968,-70.779,-6.022,57.206,-141.059,323.376,-674.754,682.746,89.750,-39.066,12.423
0.074,-44.940,-102.969,-70.779,-6.022,57.206,-141.059,323.380,-674.760,682.735,89.751,-39.066,12.423
0.085,-44.940,-102.970,-70.779,-6.022,57.206,-141.059,323.386,-674.765,682.727,89.752,-39.065,12.423
0.097,-44.940,-102.970,-70.779,-6.022,57.206,-141.059,323.385,-674.765,682.730,89.752,-39.065,12.423
0.104,-44.940,-102.970,-70.779,-6.022,57.206,-141.059,323.383,-674.770,682.726,89.752,-39.065,12.422
0.115,-44.941,-102.971,-70.779,-6.022,57.207,-141.059,323.384,-674.777,682.715,89.753,-39.065,12.422
0.129,-44.941,-102.971,-70.780,-6.022,57.207,-141.059,323.381,-674.782,682.706,89.754,-39.064,12.421
0.135,-44.942,-102.971,-70.779,-6.022,57.207,-141.059,323.373,-674.783,682.711,89.754,-39.064,12.420
0.144,-44.942,-102.970,-70.779,-6.022,57.207,-141.059,323.363,-674.781,682.722,89.753,-39.065,12.421
0.154,-44.942,-102.968,-70.778,-6.022,57.207,-141.059,323.346,-674.768,682.757,89.749,-39.067,12.422
0.164,-44.942,-102.968,-70.778,-6.022,57.207,-141.059,323.343,-674.761,682.770,89.748,-39.067,12.424
0.174,-44.942,-102.966,-70.777,-6.022,57.207,-141.059,323.339,-674.748,682.792,89.746,-39.068,12.425
0.184,-44.941,-102.966,-70.778,-6.022,57.207,-141.059,323.349,-674.741,682.793,89.746,-39.068,12.427
0.195,-44.940,-102.966,-70.777,-6.022,57.207,-141.059,323.354,-674.739,682.794,89.746,-39.068,12.427
0.204,-44.939,-102.965,-70.778,-6.021,57.207,-141.058,323.361,-674.730,682.799,89.745,-39.069,12.428
0.214,-44.939,-102.965,-70.778,-6.021,57.207,-141.059,323.364,-674.725,682.805,89.745,-39.069,12.429
0.224,-44.938,-102.965,-70.777,-6.021,57.207,-141.059,323.372,-674.720,682.810,89.744,-39.069,12.430
0.234,-44.937,-102.964,-70.777,-6.021,57.207,-141.059,323.378,-674.708,682.826,89.742,-39.070,12.432
0.244,-44.935,-102.964,-70.776,-6.021,57.207,-141.059,323.393,-674.694,682.836,89.741,-39.071,12.434
0.254,-44.934,-102.964,-70.776,-6.021,57.207,-141.059,323.404,-674.690,682.840,89.741,-39.071,12.436
0.263,-44.934,-102.964,-70.775,-6.021,57.207,-141.058,323.412,-674.682,682.850,89.740,-39.072,12.437
0.274,-44.933,-102.964,-70.774,-6.021,57.207,-141.058,323.413,-674.678,682.860,89.739,-39.072,12.438
0.285,-44.933,-102.964,-70.774,-6.021,57.207,-141.058,323.413,-674.678,682.860,89.739,-39.072,12.438
0.295,-44.934,-102.964,-70.774,-6.021,57.207,-141.058,323.409,-674.683,682.859,89.739,-39.072,12.437
0.304,-44.934,-102.964,-70.774,-6.021,57.207,-141.058,323.413,-674.686,682.851,89.740,-39.072,12.437
0.315,-44.934,-102.965,-70.774,-6.021,57.207,-141.058,323.412,-674.688,682.848,89.740,-39.071,12.437
0.325,-44.934,-102.964,-70.774,-6.021,57.207,-141.058,323.413,-674.683,682.858,89.739,-39.072,12.438
0.334,-44.934,-102.964,-70.774,-6.021,57.207,-141.058,323.409,-674.681,682.864,89.738,-39.073,12.438
0.345,-44.933,-102.964,-70.773,-6.020,57.206,-141.058,323.406,-674.677,682.874,89.737,-39.073,12.438
0.355,-44.934,-102.964,-70.773,-6.020,57.206,-141.058,323.405,-674.678,682.876,89.737,-39.073,12.439
0.366,-44.933,-102.963,-70.772,-6.020,57.207,-141.058,323.412,-674.667,682.891,89.735,-39.074,12.441
0.376,-44.932,-102.963,-70.772,-6.019,57.206,-141.058,323.414,-674.662,682.898,89.734,-39.075,12.442
0.386,-44.930,-102.962,-70.771,-6.019,57.207,-141.058,323.428,-674.641,682.923,89.731,-39.076,12.446
0.396,-44.927,-102.959,-70.770,-6.018,57.207,-141.058,323.450,-674.604,682.966,89.727,-39.079,12.452
0.406,-44.925,-102.958,-70.770,-6.018,57.208,-141.058,323.460,-674.583,682.992,89.725,-39.080,12.456
0.416,-44.921,-102.954,-70.769,-6.017,57.208,-141.057,323.484,-674.528,683.051,89.719,-39.083,12.464
0.426,-44.915,-102.950,-70.769,-6.017,57.208,-141.057,323.524,-674.474,683.097,89.714,-39.085,12.472
0.436,-44.912,-102.949,-70.769,-6.016,57.207,-141.057,323.548,-674.450,683.115,89.712,-39.086,12.476
0.445,-44.906,-102.949,-70.769,-6.016,57.207,-141.057,323.615,-674.411,683.124,89.711,-39.087,12.483
0.456,-44.902,-102.949,-70.769,-6.015,57.207,-141.057,323.670,-674.389,683.115,89.711,-39.087,12.487
0.466,-44.899,-102.949,-70.770,-6.014,57.206,-141.057,323.702,-674.377,683.105,89.712,-39.087,12.489
0.476,-44.896,-102.950,-70.771,-6.014,57.205,-141.056,323.743,-674.363,683.087,89.713,-39.087,12.490
0.486,-44.893,-102.950,-70.772,-6.013,57.206,-141.056,323.777,-674.346,683.089,89.712,-39.088,12.494
0.496,-44.892,-102.949,-70.772,-6.012,57.206,-141.056,323.788,-674.336,683.096,89.711,-39.088,12.496
0.509,-44.888,-102.948,-70.772,-6.012,57.206,-141.056,323.824,-674.305,683.116,89.709,-39.089,12.501
0.516,-44.883,-102.947,-70.771,-6.011,57.206,-141.055,323.872,-674.271,683.133,89.707,-39.091,12.508
0.525,-44.881,-102.947,-70.772,-6.009,57.206,-141.055,323.898,-674.251,683.143,89.705,-39.092,12.511
0.536,-44.873,-102.946,-70.772,-6.006,57.206,-141.054,323.986,-674.204,683.150,89.702,-39.094,12.521
0.546,-44.864,-102.948,-70.774,-6.003,57.206,-141.054,324.094,-674.164,683.128,89.702,-39.095,12.529
0.556,-44.858,-102.950,-70.775,-6.001,57.205,-141.053,324.176,-674.144,683.095,89.703,-39.095,12.534
0.567,-44.848,-102.955,-70.780,-5.998,57.205,-141.053,324.327,-674.123,683.002,89.710,-39.092,12.539
0.576,-44.833,-102.963,-70.788,-5.992,57.204,-141.052,324.569,-674.098,682.834,89.722,-39.087,12.547
0.587,-44.824,-102.969,-70.793,-5.989,57.204,-141.052,324.721,-674.093,682.714,89.730,-39.083,12.550
0.594,-44.807,-102.986,-70.805,-5.979,57.202,-141.051,325.037,-674.119,682.422,89.750,-39.074,12.553
0.605,-44.791,-103.008,-70.821,-5.967,57.202,-141.050,325.381,-674.193,682.013,89.780,-39.060,12.549
0.615,-44.778,-103.027,-70.833,-5.959,57.202,-141.049,325.673,-674.247,681.700,89.803,-39.049,12.548
0.625,-44.750,-103.067,-70.853,-5.943,57.202,-141.046,326.287,-674.377,681.042,89.852,-39.027,12.545
0.636,-44.721,-103.124,-70.878,-5.931,57.202,-141.045,327.033,-674.618,680.116,89.928,-38.991,12.526
0.644,-44.705,-103.160,-70.895,-5.924,57.200,-141.044,327.484,-674.781,679.520,89.978,-38.967,12.510
0.655,-44.671,-103.241,-70.932,-5.908,57.199,-141.042,328.449,-675.163,678.192,90.087,-38.914,12.473
