t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.117,-102.929,-70.808,-6.026,57.228,-141.063,321.163,-675.518,682.918,89.742,-39.065,12.273
0.016,-45.117,-102.928,-70.808,-6.026,57.228,-141.063,321.159,-675.518,682.919,89.742,-39.065,12.273
0.027,-45.117,-102.929,-70.808,-6.026,57.228,-141.063,321.164,-675.517,682.916,89.743,-39.065,12.273
0.034,-45.117,-102.929,-70.808,-6.026,57.228,-141.063,321.162,-675.518,682.915,89.743,-39.065,12.272
0.044,-45.117,-102.928,-70.808,-6.026,57.228,-141.063,321.164,-675.516,682.915,89.743,-39.065,12.273
0.054,-45.117,-102.928,-70.808,-6.026,57.228,-141.063,321.161,-675.516,682.916,89.743,-39.065,12.272
0.064,-45.117,-102.928,-70.808,-6.026,57.228,-141.063,321.160,-675.519,682.913,89.743,-39.065,12.272
0.074,-45.117,-102.928,-70.808,-6.026,57.227,-141.063,321.160,-675.517,682.916,89.743,-39.065,12.272
0.084,-45.117,-102.928,-70.808,-6.026,57.228,-141.063,321.160,-675.516,682.918,89.743,-39.065,12.273
0.094,-45.117,-102.928,-70.808,-6.026,57.228,-141.063,321.159,-675.518,682.918,89.742,-39.065,12.273
0.104,-45.117,-102.928,-70.808,-6.026,57.227,-141.063,321.158,-675.518,682.917,89.742,-39.065,12.272
0.115,-45.118,-102.928,-70.808,-6.026,57.227,-141.063,321.153,-675.520,682.917,89.742,-39.065,12.272
0.124,-45.118,-102.928,-70.808,-6.026,57.227,-141.063,321.154,-675.521,682.914,89.743,-39.065,12.272
0.134,-45.118,-102.929,-70.808,-6.026,57.228,-141.063,321.158,-675.523,682.910,89.743,-39.065,12.272
0.144,-45.117,-102.929,-70.808,-6.026,57.227,-141.063,321.162,-675.525,682.903,89.744,-39.065,12.271
0.154,-45.117,-102.929,-70.809,-6.026,57.227,-141.064,321.164,-675.524,682.899,89.744,-39.064,12.271
0.164,-45.117,-102.929,-70.809,-6.026,57.228,-141.064,321.168,-675.524,682.898,89.744,-39.064,12.272
0.174,-45.117,-102.930,-70.809,-6.026,57.227,-141.063,321.169,-675.526,682.895,89.745,-39.064,12.271
0.184,-45.117,-102.929,-70.809,-6.026,57.227,-141.064,321.168,-675.522,682.900,89.744,-39.064,12.272
0.194,-45.117,-102.929,-70.809,-6.026,57.227,-141.063,321.172,-675.522,682.898,89.744,-39.064,12.272
0.204,-45.116,-102.929,-70.809,-6.026,57.228,-141.063,321.177,-675.520,682.899,89.744,-39.064,12.272
0.216,-45.116,-102.929,-70.809,-6.026,57.228,-141.063,321.185,-675.517,682.898,89.745,-39.064,12.273
0.224,-45.116,-102.929,-70.809,-6.026,57.228,-141.063,321.186,-675.517,682.895,89.745,-39.064,12.273
0.235,-45.116,-102.930,-70.809,-6.026,57.228,-141.063,321.191,-675.521,682.886,89.746,-39.064,12.272
0.244,-45.116,-102.930,-70.809,-6.026,57.228,-141.063,321.188,-675.524,682.881,89.746,-39.063,12.272
0.254,-45.116,-102.930,-70.810,-6.026,57.228,-141.063,321.192,-675.525,682.877,89.747,-39.063,12.272
