t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.929,-675.465,683.151,89.721,-39.071,12.275
0.010,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.925,-675.465,683.153,89.721,-39.071,12.274
0.021,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.926,-675.463,683.154,89.721,-39.071,12.275
0.031,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.926,-675.463,683.157,89.721,-39.071,12.275
0.040,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.924,-675.464,683.155,89.721,-39.071,12.274
0.050,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.922,-675.463,683.159,89.720,-39.071,12.275
0.060,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.923,-675.460,683.161,89.720,-39.071,12.275
0.070,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.921,-675.463,683.158,89.721,-39.071,12.274
0.081,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.926,-675.461,683.157,89.721,-39.071,12.275
0.090,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.927,-675.464,683.152,89.721,-39.071,12.274
0.100,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.926,-675.467,683.150,89.722,-39.070,12.274
0.110,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.930,-675.470,683.142,89.722,-39.070,12.274
0.120,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.933,-675.470,683.138,89.723,-39.070,12.273
0.130,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.936,-675.470,683.137,89.723,-39.070,12.274
0.140,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.932,-675.470,683.137,89.723,-39.070,12.273
0.151,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.936,-675.474,683.132,89.723,-39.070,12.273
0.160,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.936,-675.470,683.137,89.723,-39.070,12.274
0.170,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.932,-675.470,683.139,89.722,-39.070,12.273
0.180,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.933,-675.470,683.140,89.722,-39.070,12.274
0.190,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.928,-675.468,683.146,89.722,-39.070,12.274
0.200,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.927,-675.466,683.151,89.721,-39.071,12.274
0.210,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.925,-675.467,683.151,89.721,-39.071,12.274
0.220,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.927,-675.464,683.154,89.721,-39.071,12.275
0.230,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.921,-675.465,683.157,89.721,-39.071,12.274
0.240,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.925,-675.463,683.158,89.720,-39.071,12.275
0.250,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.921,-675.462,683.161,89.721,-39.071,12.275
0.260,-45.127,-102.913,-70.803,-6.026,57.226,-141.069,320.922,-675.463,683.159,89.720,-39.071,12.275
0.270,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.921,-675.463,683.158,89.721,-39.071,12.274
0.280,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.928,-675.462,683.157,89.721,-39.071,12.275
0.290,-45.127,-102.913,-70.804,-6.026,57.226,-141.068,320.928,-675.465,683.150,89.721,-39.071,12.274
0.300,-45.127,-102.913,-70.803,-6.026,57.226,-141.068,320.929,-675.465,683.152,89.721,-39.071,12.274
0.310,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.930,-675.468,683.145,89.722,-39.071,12.274
0.320,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.933,-675.470,683.139,89.722,-39.070,12.274
0.330,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.934,-675.471,683.137,89.723,-39.070,12.274
0.340,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.940,-675.473,683.132,89.723,-39.070,12.274
0.350,-45.127,-102.914,-70.804,-6.026,57.226,-141.068,320.943,-675.472,683.128,89.724,-39.070,12.273
0.360,-45.127,-102.914,-70.804,-6.027,57.226,-141.068,320.941,-675.472,683.128,89.724,-39.069,12.273
0.370,-45.126,-102.915,-70.805,-6.027,57.226,-141.068,320.950,-675.472,683.119,89.725,-39.069,12.273
0.380,-45.126,-102.915,-70.805,-6.027,57.227,-141.068,320.953,-675.474,683.116,89.725,-39.069,12.273
0.391,-45.126,-102.915,-70.805,-6.027,57.227,-141.068,320.956,-675.474,683.112,89.726,-39.069,12.273
0.401,-45.126,-102.915,-70.805,-6.027,57.227,-141.068,320.961,-675.472,683.111,89.726,-39.068,12.273
0.411,-45.125,-102.915,-70.805,-6.027,57.227,-141.068,320.967,-675.472,683.108,89.727,-39.068,12.274
0.421,-45.125,-102.915,-70.805,-6.027,57.227,-141.068,320.968,-675.473,683.105,89.727,-39.068,12.273
0.431,-45.125,-102.916,-70.806,-6.028,57.227,-141.068,320.981,-675.477,683.086,89.729,-39.067,12.273
0.441,-45.125,-102.917,-70.806,-6.028,57.227,-141.068,320.991,-675.480,683.073,89.730,-39.067,12.273
0.451,-45.124,-102.917,-70.806,-6.027,57.227,-141.068,320.996,-675.482,683.066,89.730,-39.066,12.272
0.461,-45.124,-102.919,-70.808,-6.029,57.227,-141.068,321.009,-675.496,683.028,89.735,-39.064,12.269
0.470,-45.125,-102.923,-70.812,-6.030,57.226,-141.068,321.035,-675.531,682.937,89.744,-39.059,12.262
0.481,-45.125,-102.925,-70.814,-6.030,57.226,-141.068,321.055,-675.556,682.871,89.751,-39.056,12.258
