t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.056,-103.058,-70.818,-6.032,57.215,-141.071,322.706,-676.082,681.185,89.901,-38.978,12.220
0.013,-45.057,-103.059,-70.818,-6.032,57.214,-141.071,322.702,-676.085,681.182,89.901,-38.978,12.220
0.025,-45.058,-103.059,-70.818,-6.034,57.214,-141.071,322.689,-676.094,681.177,89.903,-38.978,12.217
0.033,-45.058,-103.058,-70.818,-6.034,57.214,-141.071,322.684,-676.094,681.177,89.903,-38.978,12.217
0.043,-45.058,-103.058,-70.818,-6.033,57.214,-141.071,322.684,-676.094,681.178,89.903,-38.978,12.217
0.054,-45.059,-103.058,-70.818,-6.033,57.214,-141.071,322.678,-676.095,681.180,89.903,-38.978,12.217
0.064,-45.059,-103.058,-70.818,-6.034,57.214,-141.071,322.677,-676.094,681.181,89.903,-38.978,12.217
0.073,-45.059,-103.058,-70.818,-6.034,57.214,-141.071,322.678,-676.093,681.183,89.902,-38.978,12.217
0.083,-45.059,-103.058,-70.818,-6.033,57.214,-141.071,322.667,-676.092,681.197,89.901,-38.979,12.217
0.094,-45.059,-103.058,-70.818,-6.034,57.214,-141.071,322.668,-676.093,681.194,89.901,-38.979,12.217
0.103,-45.059,-103.058,-70.817,-6.034,57.215,-141.071,322.673,-676.091,681.198,89.901,-38.979,12.218
0.113,-45.058,-103.057,-70.817,-6.034,57.215,-141.071,322.677,-676.086,681.201,89.901,-38.979,12.219
0.123,-45.058,-103.057,-70.817,-6.034,57.215,-141.071,322.683,-676.083,681.201,89.901,-38.979,12.219
0.133,-45.058,-103.058,-70.818,-6.034,57.215,-141.071,322.692,-676.085,681.188,89.902,-38.978,12.219
0.145,-45.058,-103.059,-70.818,-6.035,57.215,-141.071,322.699,-676.091,681.172,89.904,-38.977,12.218
0.153,-45.058,-103.059,-70.818,-6.035,57.215,-141.071,322.698,-676.093,681.171,89.904,-38.977,12.217
0.163,-45.058,-103.060,-70.818,-6.036,57.215,-141.071,322.704,-676.100,681.156,89.906,-38.976,12.216
0.174,-45.058,-103.060,-70.819,-6.036,57.215,-141.071,322.705,-676.104,681.147,89.907,-38.976,12.215
0.183,-45.058,-103.060,-70.819,-6.037,57.215,-141.071,322.708,-676.104,681.144,89.908,-38.975,12.215
0.193,-45.058,-103.060,-70.819,-6.038,57.215,-141.071,322.705,-676.111,681.133,89.910,-38.974,12.213
0.203,-45.059,-103.061,-70.819,-6.038,57.215,-141.071,322.704,-676.120,681.118,89.912,-38.973,12.212
0.213,-45.060,-103.061,-70.819,-6.038,57.215,-141.071,322.698,-676.127,681.113,89.912,-38.973,12.210
0.223,-45.061,-103.062,-70.820,-6.039,57.215,-141.071,322.692,-676.140,681.095,89.914,-38.972,12.208
0.234,-45.061,-103.063,-70.820,-6.039,57.214,-141.071,322.693,-676.148,681.079,89.916,-38.971,12.206
0.243,-45.061,-103.064,-70.820,-6.040,57.214,-141.071,322.692,-676.155,681.068,89.917,-38.971,12.205
0.255,-45.062,-103.064,-70.821,-6.041,57.214,-141.071,322.691,-676.157,681.063,89.919,-38.970,12.204
0.263,-45.061,-103.064,-70.821,-6.041,57.214,-141.071,322.699,-676.158,681.056,89.919,-38.970,12.204
0.274,-45.061,-103.064,-70.821,-6.041,57.215,-141.071,322.705,-676.156,681.056,89.920,-38.969,12.204
0.283,-45.061,-103.064,-70.821,-6.042,57.215,-141.071,322.704,-676.154,681.057,89.920,-38.969,12.204
0.293,-45.060,-103.064,-70.821,-6.045,57.215,-141.071,322.720,-676.156,681.038,89.924,-38.967,12.203
0.303,-45.060,-103.064,-70.821,-6.049,57.215,-141.071,322.726,-676.160,681.023,89.928,-38.965,12.200
0.313,-45.059,-103.064,-70.821,-6.058,57.215,-141.071,322.750,-676.166,680.982,89.939,-38.960,12.195
0.323,-45.058,-103.066,-70.822,-6.069,57.216,-141.071,322.787,-676.181,680.915,89.953,-38.953,12.187
0.334,-45.058,-103.066,-70.822,-6.076,57.217,-141.071,322.807,-676.191,680.876,89.962,-38.948,12.183
0.344,-45.056,-103.068,-70.823,-6.092,57.218,-141.071,322.862,-676.212,680.781,89.982,-38.938,12.173
0.354,-45.054,-103.072,-70.824,-6.111,57.219,-141.071,322.938,-676.251,680.646,90.008,-38.924,12.160
0.364,-45.053,-103.075,-70.825,-6.123,57.220,-141.071,322.986,-676.273,680.562,90.025,-38.917,12.152
0.373,-45.049,-103.079,-70.828,-6.153,57.224,-141.071,323.108,-676.310,680.367,90.064,-38.896,12.134
0.386,-45.042,-103.083,-70.835,-6.198,57.227,-141.072,323.287,-676.354,680.073,90.125,-38.866,12.106
0.395,-45.037,-103.087,-70.839,-6.224,57.229,-141.072,323.417,-676.382,679.880,90.162,-38.847,12.090
0.403,-45.020,-103.100,-70.846,-6.285,57.233,-141.072,323.801,-676.445,679.407,90.250,-38.803,12.056
0.414,-44.989,-103.119,-70.852,-6.363,57.240,-141.072,324.419,-676.477,678.814,90.360,-38.747,12.025
0.423,-44.973,-103.130,-70.853,-6.415,57.243,-141.072,324.743,-676.511,678.470,90.429,-38.712,12.001
0.433,-44.942,-103.153,-70.854,-6.558,57.248,-141.072,325.430,-676.635,677.626,90.609,-38.621,11.924
0.445,-44.911,-103.185,-70.851,-6.752,57.252,-141.072,326.226,-676.856,676.516,90.848,-38.499,11.811
0.453,-44.895,-103.199,-70.852,-6.863,57.255,-141.072,326.633,-676.965,675.909,90.982,-38.430,11.747
0.465,-44.867,-103.228,-70.853,-7.127,57.260,-141.071,327.435,-677.252,674.539,91.294,-38.268,11.586
0.474,-44.840,-103.255,-70.851,-7.434,57.267,-141.071,328.257,-677.565,673.045,91.646,-38.085,11.402
0.484,-44.830,-103.269,-70.851,-7.613,57.272,-141.071,328.664,-677.767,672.175,91.850,-37.977,11.291
0.493,-44.814,-103.305,-70.849,-8.021,57.286,-141.071,329.547,-678.277,670.182,92.313,-37.731,11.038
0.503,-44.800,-103.343,-70.849,-8.480,57.311,-141.071,330.496,-678.844,667.933,92.832,-37.452,10.760
0.513,-44.791,-103.362,-70.849,-8.732,57.328,-141.071,331.037,-679.128,666.717,93.113,-37.299,10.615
0.524,-44.776,-103.394,-70.849,-9.230,57.371,-141.070,332.051,-679.652,664.372,93.662,-37.000,10.341
0.534,-44.783,-103.431,-70.849,-9.877,57.453,-141.070,333.147,-680.408,661.359,94.367,-36.611,9.995
0.548,-44.788,-103.445,-70.851,-10.190,57.508,-141.069,333.687,-680.735,659.935,94.703,-36.425,9.845
0.554,-44.801,-103.473,-70.852,-10.902,57.676,-141.069,335.035,-681.414,656.737,95.461,-36.007,9.550
0.564,-44.817,-103.492,-70.853,-11.605,57.868,-141.068,336.373,-681.986,653.663,96.197,-35.600,9.295
0.574,-44.827,-103.497,-70.854,-11.904,57.954,-141.068,336.900,-682.218,652.380,96.507,-35.429,9.190
0.585,-44.861,-103.505,-70.854,-12.647,58.184,-141.068,338.112,-682.785,649.241,97.270,-35.008,8.944
0.594,-44.926,-103.508,-70.855,-13.410,58.443,-141.067,339.032,-683.450,646.053,98.047,-34.582,8.693
0.604,-44.978,-103.509,-70.855,-13.856,58.611,-141.066,339.465,-683.879,644.190,98.499,-34.336,8.552
0.614,-45.078,-103.510,-70.855,-14.558,58.904,-141.066,340.029,-684.622,641.211,99.215,-33.952,8.340
0.623,-45.198,-103.518,-70.857,-15.336,59.261,-141.063,340.675,-685.467,637.796,100.015,-33.532,8.127
0.634,-45.259,-103.525,-70.858,-15.715,59.457,-141.063,341.077,-685.877,636.056,100.412,-33.328,8.041
0.649,-45.377,-103.552,-70.861,-16.471,59.882,-141.063,342.110,-686.691,632.376,101.220,-32.920,7.899
0.655,-45.500,-103.593,-70.866,-17.210,60.341,-141.062,343.260,-687.530,628.532,102.032,-32.524,7.787
0.664,-45.556,-103.619,-70.870,-17.559,60.583,-141.061,343.972,-687.916,626.587,102.427,-32.338,7.756
0.674,-45.656,-103.679,-70.879,-18.212,61.092,-141.061,345.646,-688.577,622.730,103.189,-31.995,7.746
0.684,-45.739,-103.747,-70.894,-18.815,61.621,-141.059,347.619,-689.101,618.874,103.922,-31.684,7.792
0.694,-45.774,-103.785,-70.905,-19.081,61.895,-141.058,348.724,-689.310,616.994,104.264,-31.550,7.844
0.704,-45.840,-103.872,-70.933,-19.582,62.516,-141.058,351.327,-689.638,613.100,104.951,-31.308,8.021
0.715,-45.895,-103.960,-70.969,-19.914,63.110,-141.057,353.893,-689.842,609.821,105.485,-31.162,8.265
0.726,-45.921,-104.009,-70.991,-20.034,63.408,-141.057,355.203,-689.950,608.244,105.720,-31.112,8.405
0.734,-45.962,-104.107,-71.038,-20.165,63.947,-141.057,357.672,-690.111,605.591,106.077,-31.067,8.700
0.745,-46.000,-104.227,-71.090,-20.179,64.542,-141.055,360.510,-690.251,603.058,106.361,-31.091,9.089
0.755,-46.016,-104.288,-71.117,-20.150,64.837,-141.054,361.941,-690.296,601.925,106.470,-31.123,9.300
0.764,-46.054,-104.411,-71.173,-20.045,65.417,-141.053,364.687,-690.411,599.828,106.645,-31.211,9.730
0.774,-46.086,-104.548,-71.219,-19.857,65.979,-141.052,367.470,-690.554,598.030,106.740,-31.341,10.189
0.784,-46.101,-104.622,-71.237,-19.734,66.255,-141.051,368.869,-690.635,597.255,106.758,-31.420,10.431
0.796,-46.126,-104.773,-71.265,-19.412,66.777,-141.051,371.598,-690.794,596.109,106.707,-31.616,10.936
0.804,-46.144,-104.965,-71.270,-18.944,67.306,-141.050,374.604,-691.069,595.319,106.528,-31.880,11.522
0.815,-46.149,-105.047,-71.265,-18.733,67.499,-141.050,375.761,-691.210,595.133,106.426,-31.994,11.756
0.825,-46.162,-105.247,-71.258,-18.142,67.946,-141.049,378.471,-691.552,594.984,106.097,-32.303,12.351
0.834,-46.171,-105.448,-71.247,-17.457,68.359,-141.048,381.041,-691.886,595.305,105.658,-32.648,12.978
0.844,-46.175,-105.551,-71.238,-17.084,68.556,-141.048,382.278,-692.060,595.610,105.402,-32.831,13.302
0.857,-46.189,-105.750,-71.211,-16.254,68.918,-141.048,384.486,-692.398,596.822,104.774,-33.235,13.983
0.868,-46.211,-105.929,-71.177,-15.338,69.248,-141.048,386.278,-692.667,598.781,104.013,-33.678,14.703
0.875,-46.226,-106.011,-71.159,-14.853,69.402,-141.048,387.004,-692.780,600.003,103.588,-33.910,15.074
0.887,-46.256,-106.159,-71.117,-13.830,69.687,-141.049,388.237,-692.881,602.979,102.645,-34.394,15.853
0.898,-46.287,-106.289,-71.073,-12.771,69.939,-141.050,389.145,-692.875,606.388,101.622,-34.883,16.651
0.905,-46.302,-106.349,-71.047,-12.231,70.052,-141.051,389.496,-692.835,608.255,101.082,-35.128,17.058
0.914,-46.327,-106.459,-70.985,-11.123,70.259,-141.053,390.050,-692.619,612.373,99.933,-35.624,17.903
0.925,-46.350,-106.547,-70.906,-10.005,70.430,-141.054,390.272,-692.236,617.021,98.708,-36.119,18.767
0.934,-46.364,-106.583,-70.864,-9.457,70.503,-141.055,390.240,-692.017,619.431,98.089,-36.357,19.192
0.945,-46.395,-106.649,-70.768,-8.362,70.629,-141.057,389.948,-691.533,624.453,96.816,-36.825,20.045
0.953,-46.433,-106.703,-70.672,-7.305,70.715,-141.060,389.286,-691.056,629.476,95.553,-37.261,20.853
0.964,-46.455,-106.722,-70.623,-6.805,70.741,-141.062,388.807,-690.804,631.979,94.937,-37.464,21.232
0.974,-46.493,-106.742,-70.522,-5.830,70.761,-141.065,387.642,-690.196,637.118,93.700,-37.857,21.969
0.984,-46.532,-106.743,-70.419,-4.924,70.751,-141.068,386.226,-689.529,642.213,92.507,-38.217,22.655
0.995,-46.555,-106.739,-70.360,-4.443,70.741,-141.073,385.376,-689.141,645.017,91.858,-38.404,23.025
1.003,-46.588,-106.728,-70.265,-3.742,70.721,-141.080,384.041,-688.501,649.274,90.888,-38.674,23.576
1.014,-46.623,-106.708,-70.152,-3.079,70.684,-141.092,382.546,-687.827,653.653,89.927,-38.928,24.107
