t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.980,-675.450,683.106,89.727,-39.060,12.270
0.011,-45.121,-102.915,-70.806,-6.027,57.219,-141.076,320.982,-675.451,683.104,89.727,-39.060,12.270
0.020,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.980,-675.450,683.106,89.727,-39.060,12.270
0.031,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.980,-675.451,683.104,89.727,-39.060,12.270
0.040,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.983,-675.449,683.107,89.727,-39.060,12.271
0.050,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.980,-675.450,683.107,89.727,-39.060,12.270
0.060,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.979,-675.449,683.106,89.727,-39.060,12.270
0.071,-45.121,-102.915,-70.806,-6.027,57.219,-141.076,320.980,-675.452,683.104,89.727,-39.060,12.270
0.080,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.980,-675.450,683.107,89.727,-39.060,12.270
0.090,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.982,-675.449,683.108,89.727,-39.060,12.270
0.101,-45.121,-102.914,-70.806,-6.027,57.219,-141.076,320.979,-675.447,683.112,89.726,-39.060,12.270
0.110,-45.120,-102.914,-70.806,-6.027,57.219,-141.076,320.981,-675.445,683.114,89.726,-39.060,12.271
0.121,-45.120,-102.914,-70.805,-6.027,57.219,-141.076,320.985,-675.443,683.116,89.726,-39.061,12.271
0.131,-45.120,-102.914,-70.805,-6.027,57.219,-141.076,320.984,-675.439,683.125,89.725,-39.061,12.272
0.140,-45.119,-102.914,-70.805,-6.027,57.219,-141.076,320.989,-675.435,683.128,89.725,-39.061,12.273
0.150,-45.119,-102.913,-70.805,-6.027,57.219,-141.076,320.991,-675.428,683.135,89.724,-39.061,12.274
0.160,-45.118,-102.913,-70.805,-6.027,57.219,-141.076,320.994,-675.423,683.140,89.724,-39.062,12.274
0.171,-45.117,-102.913,-70.805,-6.028,57.219,-141.076,321.005,-675.418,683.141,89.724,-39.062,12.275
0.180,-45.117,-102.912,-70.805,-6.027,57.219,-141.076,321.009,-675.412,683.146,89.723,-39.062,12.276
0.191,-45.116,-102.912,-70.804,-6.027,57.219,-141.076,321.013,-675.408,683.151,89.723,-39.062,12.277
0.201,-45.116,-102.912,-70.805,-6.027,57.219,-141.076,321.013,-675.404,683.154,89.722,-39.062,12.277
0.210,-45.117,-102.912,-70.804,-6.027,57.219,-141.076,321.007,-675.405,683.158,89.722,-39.062,12.277
0.220,-45.117,-102.911,-70.804,-6.027,57.219,-141.076,321.004,-675.401,683.167,89.721,-39.063,12.278
0.230,-45.117,-102.910,-70.804,-6.027,57.219,-141.076,320.990,-675.400,683.179,89.720,-39.063,12.278
0.241,-45.118,-102.909,-70.804,-6.027,57.219,-141.076,320.974,-675.397,683.195,89.719,-39.064,12.278
0.251,-45.119,-102.908,-70.803,-6.027,57.219,-141.076,320.958,-675.396,683.207,89.718,-39.065,12.278
0.261,-45.120,-102.907,-70.803,-6.027,57.219,-141.076,320.936,-675.393,683.226,89.716,-39.065,12.278
0.271,-45.121,-102.906,-70.803,-6.027,57.219,-141.076,320.917,-675.390,683.242,89.715,-39.066,12.278
0.286,-45.122,-102.904,-70.803,-6.028,57.219,-141.076,320.895,-675.382,683.265,89.713,-39.067,12.278
0.290,-45.122,-102.902,-70.802,-6.027,57.219,-141.076,320.869,-675.369,683.299,89.709,-39.069,12.279
0.301,-45.123,-102.900,-70.802,-6.028,57.219,-141.076,320.854,-675.358,683.322,89.708,-39.069,12.280
0.310,-45.123,-102.898,-70.802,-6.027,57.219,-141.076,320.831,-675.344,683.358,89.704,-39.071,12.282
0.320,-45.123,-102.896,-70.801,-6.028,57.219,-141.076,320.823,-675.335,683.377,89.703,-39.072,12.283
0.331,-45.123,-102.896,-70.801,-6.028,57.219,-141.076,320.817,-675.332,683.384,89.702,-39.072,12.283
0.341,-45.123,-102.896,-70.802,-6.028,57.219,-141.076,320.832,-675.334,683.369,89.704,-39.072,12.283
0.350,-45.121,-102.898,-70.802,-6.029,57.219,-141.076,320.860,-675.343,683.334,89.707,-39.070,12.281
0.360,-45.121,-102.900,-70.803,-6.028,57.219,-141.076,320.876,-675.351,683.311,89.709,-39.069,12.281
0.371,-45.120,-102.902,-70.804,-6.029,57.219,-141.076,320.903,-675.360,683.279,89.712,-39.067,12.280
0.380,-45.119,-102.903,-70.804,-6.029,57.219,-141.076,320.929,-675.361,683.261,89.714,-39.066,12.281
0.391,-45.118,-102.904,-70.803,-6.029,57.219,-141.076,320.942,-675.358,683.261,89.714,-39.066,12.281
0.401,-45.116,-102.904,-70.803,-6.029,57.219,-141.076,320.965,-675.350,683.258,89.714,-39.066,12.283
0.410,-45.114,-102.904,-70.802,-6.029,57.219,-141.076,320.992,-675.340,683.261,89.714,-39.067,12.285
0.421,-45.112,-102.905,-70.802,-6.029,57.219,-141.076,321.010,-675.334,683.258,89.714,-39.066,12.287
0.431,-45.111,-102.905,-70.802,-6.029,57.219,-141.076,321.032,-675.324,683.259,89.714,-39.066,12.289
0.441,-45.109,-102.905,-70.802,-6.029,57.219,-141.076,321.053,-675.314,683.259,89.714,-39.067,12.291
