t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.008,-45.113,-102.911,-70.810,-6.028,57.217,-141.074,321.050,-675.390,683.103,89.728,-39.062,12.275
0.019,-45.112,-102.912,-70.811,-6.027,57.217,-141.074,321.064,-675.393,683.085,89.730,-39.061,12.275
0.028,-45.111,-102.912,-70.812,-6.027,57.217,-141.074,321.080,-675.389,683.077,89.730,-39.061,12.276
0.038,-45.110,-102.912,-70.812,-6.028,57.217,-141.074,321.088,-675.388,683.070,89.731,-39.061,12.276
0.048,-45.110,-102.912,-70.811,-6.027,57.217,-141.074,321.087,-675.385,683.079,89.730,-39.061,12.276
0.058,-45.111,-102.911,-70.810,-6.027,57.217,-141.074,321.070,-675.383,683.098,89.728,-39.062,12.277
0.068,-45.112,-102.911,-70.810,-6.027,57.217,-141.074,321.058,-675.384,683.106,89.728,-39.062,12.276
0.077,-45.113,-102.910,-70.810,-6.027,57.217,-141.073,321.037,-675.389,683.117,89.726,-39.063,12.275
0.088,-45.114,-102.911,-70.810,-6.027,57.216,-141.074,321.025,-675.397,683.112,89.727,-39.063,12.274
0.098,-45.115,-102.911,-70.810,-6.027,57.216,-141.074,321.025,-675.401,683.107,89.727,-39.062,12.273
0.108,-45.115,-102.912,-70.811,-6.028,57.216,-141.074,321.036,-675.411,683.079,89.730,-39.061,12.271
0.118,-45.114,-102.914,-70.811,-6.029,57.216,-141.073,321.050,-675.419,683.057,89.733,-39.060,12.270
0.128,-45.114,-102.914,-70.811,-6.029,57.216,-141.074,321.058,-675.419,683.049,89.734,-39.059,12.270
0.138,-45.113,-102.914,-70.811,-6.029,57.216,-141.074,321.069,-675.416,683.048,89.734,-39.059,12.271
0.148,-45.111,-102.914,-70.811,-6.029,57.217,-141.074,321.089,-675.406,683.053,89.734,-39.059,12.273
0.158,-45.110,-102.914,-70.810,-6.030,57.217,-141.074,321.101,-675.399,683.056,89.734,-39.059,12.274
0.167,-45.107,-102.914,-70.810,-6.029,57.217,-141.074,321.133,-675.378,683.069,89.732,-39.060,12.278
0.178,-45.102,-102.913,-70.810,-6.030,57.217,-141.074,321.190,-675.349,683.068,89.733,-39.060,12.283
0.187,-45.099,-102.913,-70.810,-6.030,57.217,-141.074,321.227,-675.332,683.066,89.733,-39.059,12.286
0.198,-45.092,-102.913,-70.810,-6.030,57.217,-141.074,321.312,-675.293,683.064,89.733,-39.059,12.293
0.208,-45.083,-102.913,-70.811,-6.030,57.217,-141.074,321.413,-675.242,683.064,89.733,-39.059,12.301
0.218,-45.080,-102.913,-70.811,-6.030,57.216,-141.074,321.445,-675.222,683.070,89.732,-39.059,12.304
0.227,-45.072,-102.912,-70.810,-6.030,57.216,-141.074,321.532,-675.170,683.085,89.731,-39.060,12.313
