t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.007,-45.131,-102.912,-70.804,-6.032,57.228,-141.061,320.884,-675.481,683.147,89.726,-39.076,12.269
0.020,-45.131,-102.911,-70.804,-6.032,57.227,-141.061,320.886,-675.478,683.149,89.726,-39.076,12.269
0.027,-45.131,-102.911,-70.804,-6.032,57.228,-141.061,320.884,-675.479,683.150,89.726,-39.076,12.269
0.037,-45.131,-102.911,-70.804,-6.032,57.227,-141.061,320.883,-675.479,683.151,89.726,-39.076,12.269
0.047,-45.131,-102.911,-70.804,-6.032,57.227,-141.061,320.882,-675.478,683.154,89.725,-39.076,12.269
0.057,-45.131,-102.911,-70.804,-6.032,57.227,-141.061,320.883,-675.479,683.152,89.725,-39.076,12.269
0.067,-45.131,-102.912,-70.804,-6.032,57.227,-141.061,320.885,-675.480,683.148,89.726,-39.076,12.269
0.078,-45.131,-102.911,-70.804,-6.032,57.227,-141.061,320.883,-675.479,683.152,89.725,-39.076,12.269
0.087,-45.131,-102.912,-70.804,-6.032,57.227,-141.061,320.884,-675.483,683.146,89.726,-39.076,12.269
0.098,-45.131,-102.912,-70.804,-6.032,57.228,-141.061,320.887,-675.484,683.139,89.727,-39.075,12.268
0.107,-45.131,-102.912,-70.804,-6.032,57.228,-141.061,320.886,-675.486,683.138,89.727,-39.075,12.268
0.117,-45.131,-102.912,-70.804,-6.032,57.228,-141.061,320.895,-675.486,683.132,89.727,-39.075,12.268
0.127,-45.131,-102.913,-70.804,-6.032,57.227,-141.060,320.893,-675.488,683.130,89.728,-39.075,12.268
0.138,-45.131,-102.913,-70.804,-6.032,57.227,-141.061,320.895,-675.487,683.132,89.727,-39.075,12.268
0.148,-45.131,-102.913,-70.804,-6.032,57.227,-141.061,320.893,-675.488,683.130,89.728,-39.075,12.268
0.157,-45.131,-102.913,-70.804,-6.032,57.228,-141.061,320.891,-675.489,683.132,89.727,-39.075,12.268
0.167,-45.131,-102.912,-70.804,-6.032,57.227,-141.061,320.893,-675.486,683.135,89.727,-39.075,12.269
0.179,-45.131,-102.912,-70.805,-6.033,57.227,-141.061,320.895,-675.487,683.121,89.729,-39.074,12.267
0.187,-45.131,-102.914,-70.806,-6.033,57.227,-141.061,320.898,-675.501,683.093,89.732,-39.073,12.264
0.197,-45.131,-102.914,-70.806,-6.033,57.227,-141.061,320.897,-675.504,683.086,89.733,-39.073,12.263
0.208,-45.131,-102.914,-70.806,-6.033,57.227,-141.061,320.898,-675.506,683.085,89.733,-39.073,12.264
0.217,-45.131,-102.914,-70.806,-6.032,57.227,-141.061,320.898,-675.500,683.095,89.732,-39.073,12.265
0.228,-45.131,-102.913,-70.806,-6.032,57.227,-141.061,320.893,-675.494,683.108,89.730,-39.074,12.266
0.237,-45.131,-102.912,-70.805,-6.032,57.227,-141.061,320.892,-675.485,683.127,89.729,-39.075,12.268
0.247,-45.130,-102.912,-70.805,-6.033,57.228,-141.061,320.902,-675.483,683.123,89.729,-39.074,12.268
0.257,-45.128,-102.912,-70.803,-6.035,57.227,-141.061,320.923,-675.469,683.138,89.729,-39.074,12.270
0.267,-45.118,-102.902,-70.791,-6.041,57.229,-141.060,320.973,-675.332,683.366,89.712,-39.083,12.293
0.277,-45.094,-102.887,-70.772,-6.041,57.229,-141.060,321.119,-675.066,683.756,89.675,-39.102,12.339
0.287,-45.083,-102.878,-70.759,-6.045,57.229,-141.060,321.173,-674.924,683.993,89.655,-39.112,12.364
0.297,-45.067,-102.853,-70.733,-6.042,57.228,-141.061,321.139,-674.626,684.590,89.596,-39.141,12.415
0.307,-45.046,-102.832,-70.689,-6.043,57.229,-141.061,321.191,-674.295,685.301,89.527,-39.174,12.481
0.318,-45.032,-102.825,-70.662,-6.042,57.228,-141.060,321.262,-674.128,685.675,89.489,-39.194,12.518
0.327,-45.009,-102.822,-70.620,-6.042,57.229,-141.061,321.435,-673.906,686.176,89.439,-39.218,12.573
0.337,-44.985,-102.822,-70.583,-6.041,57.228,-141.060,321.659,-673.713,686.562,89.399,-39.238,12.622
0.347,-44.971,-102.823,-70.566,-6.042,57.228,-141.060,321.808,-673.613,686.732,89.382,-39.247,12.648
0.357,-44.951,-102.823,-70.548,-6.042,57.227,-141.061,322.006,-673.479,686.913,89.363,-39.255,12.678
0.367,-44.944,-102.824,-70.536,-6.042,57.227,-141.061,322.071,-673.426,687.035,89.350,-39.262,12.692
0.377,-44.946,-102.822,-70.536,-6.041,57.226,-141.061,322.032,-673.419,687.065,89.347,-39.263,12.692
0.387,-44.950,-102.817,-70.533,-6.041,57.224,-141.061,321.936,-673.406,687.157,89.339,-39.267,12.691
0.399,-44.954,-102.813,-70.531,-6.042,57.222,-141.060,321.850,-673.398,687.228,89.333,-39.271,12.689
0.407,-44.955,-102.811,-70.530,-6.043,57.220,-141.061,321.816,-673.396,687.256,89.331,-39.271,12.687
0.417,-44.955,-102.810,-70.528,-6.044,57.214,-141.061,321.782,-673.394,687.278,89.329,-39.272,12.682
0.427,-44.951,-102.811,-70.528,-6.046,57.199,-141.061,321.764,-673.389,687.266,89.332,-39.271,12.669
0.437,-44.950,-102.810,-70.528,-6.046,57.192,-141.061,321.747,-673.382,687.278,89.331,-39.272,12.664
