t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.129,-102.908,-70.807,-6.028,57.229,-141.057,320.895,-675.448,683.169,89.722,-39.082,12.275
0.010,-45.129,-102.909,-70.807,-6.028,57.229,-141.057,320.897,-675.449,683.165,89.722,-39.082,12.275
0.020,-45.129,-102.909,-70.807,-6.028,57.229,-141.057,320.903,-675.452,683.158,89.723,-39.082,12.275
0.029,-45.129,-102.909,-70.807,-6.028,57.229,-141.057,320.902,-675.450,683.161,89.722,-39.082,12.275
0.039,-45.129,-102.910,-70.807,-6.028,57.229,-141.057,320.906,-675.456,683.150,89.723,-39.081,12.274
0.050,-45.129,-102.910,-70.807,-6.028,57.229,-141.057,320.906,-675.460,683.143,89.724,-39.081,12.273
0.059,-45.129,-102.910,-70.807,-6.028,57.229,-141.057,320.910,-675.462,683.138,89.724,-39.080,12.273
0.070,-45.129,-102.911,-70.807,-6.028,57.229,-141.057,320.907,-675.466,683.134,89.725,-39.080,12.273
0.082,-45.129,-102.911,-70.807,-6.028,57.229,-141.057,320.908,-675.467,683.132,89.725,-39.080,12.273
0.090,-45.129,-102.911,-70.807,-6.028,57.229,-141.057,320.905,-675.468,683.132,89.725,-39.080,12.272
0.100,-45.129,-102.910,-70.807,-6.028,57.229,-141.057,320.903,-675.465,683.138,89.724,-39.080,12.273
0.110,-45.129,-102.910,-70.807,-6.028,57.229,-141.057,320.903,-675.461,683.145,89.724,-39.081,12.273
0.119,-45.129,-102.910,-70.807,-6.028,57.229,-141.057,320.904,-675.461,683.145,89.724,-39.080,12.273
0.129,-45.129,-102.910,-70.807,-6.028,57.229,-141.057,320.898,-675.458,683.151,89.723,-39.081,12.273
0.139,-45.129,-102.909,-70.807,-6.028,57.229,-141.057,320.895,-675.457,683.154,89.723,-39.081,12.274
0.149,-45.129,-102.909,-70.807,-6.028,57.229,-141.057,320.897,-675.456,683.154,89.723,-39.081,12.274
0.159,-45.129,-102.909,-70.807,-6.028,57.229,-141.057,320.898,-675.453,683.160,89.722,-39.081,12.275
0.170,-45.129,-102.908,-70.807,-6.027,57.229,-141.058,320.890,-675.449,683.170,89.721,-39.081,12.275
0.179,-45.129,-102.908,-70.807,-6.028,57.229,-141.058,320.897,-675.447,683.169,89.721,-39.081,12.275
0.189,-45.129,-102.908,-70.806,-6.027,57.229,-141.058,320.897,-675.446,683.172,89.721,-39.081,12.276
0.200,-45.129,-102.908,-70.807,-6.027,57.229,-141.058,320.896,-675.445,683.173,89.721,-39.081,12.276
0.209,-45.129,-102.908,-70.807,-6.028,57.229,-141.058,320.894,-675.448,683.169,89.721,-39.081,12.275
0.219,-45.129,-102.909,-70.807,-6.027,57.229,-141.058,320.896,-675.450,683.166,89.722,-39.081,12.275
0.229,-45.129,-102.909,-70.807,-6.028,57.229,-141.058,320.901,-675.453,683.156,89.723,-39.080,12.274
0.239,-45.129,-102.909,-70.807,-6.028,57.229,-141.058,320.899,-675.455,683.154,89.723,-39.080,12.274
0.249,-45.129,-102.910,-70.807,-6.028,57.229,-141.058,320.904,-675.458,683.145,89.724,-39.080,12.274
0.259,-45.129,-102.910,-70.807,-6.028,57.229,-141.058,320.903,-675.462,683.143,89.724,-39.080,12.273
0.269,-45.129,-102.910,-70.807,-6.028,57.229,-141.058,320.903,-675.462,683.143,89.724,-39.080,12.273
0.279,-45.129,-102.910,-70.807,-6.028,57.229,-141.058,320.900,-675.463,683.142,89.724,-39.080,12.273
0.289,-45.129,-102.910,-70.807,-6.028,57.229,-141.058,320.905,-675.463,683.139,89.724,-39.080,12.273
0.300,-45.129,-102.910,-70.807,-6.028,57.229,-141.058,320.903,-675.463,683.141,89.724,-39.080,12.273
