t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.115,-102.902,-70.811,-6.036,57.229,-141.064,321.037,-675.340,683.172,89.728,-39.071,12.286
0.015,-45.115,-102.902,-70.811,-6.036,57.229,-141.065,321.034,-675.343,683.172,89.728,-39.071,12.286
0.025,-45.115,-102.902,-70.811,-6.036,57.229,-141.064,321.030,-675.346,683.166,89.728,-39.071,12.285
0.035,-45.116,-102.902,-70.811,-6.035,57.229,-141.064,321.025,-675.349,683.167,89.728,-39.071,12.284
0.045,-45.116,-102.903,-70.811,-6.035,57.229,-141.065,321.023,-675.353,683.160,89.729,-39.071,12.283
0.055,-45.116,-102.903,-70.812,-6.035,57.229,-141.064,321.023,-675.355,683.156,89.729,-39.071,12.283
0.065,-45.116,-102.903,-70.812,-6.035,57.229,-141.064,321.020,-675.354,683.161,89.729,-39.071,12.283
0.074,-45.116,-102.903,-70.812,-6.035,57.229,-141.064,321.020,-675.355,683.156,89.729,-39.071,12.283
0.085,-45.116,-102.902,-70.811,-6.035,57.229,-141.064,321.015,-675.349,683.170,89.728,-39.071,12.284
0.094,-45.116,-102.902,-70.811,-6.035,57.229,-141.064,321.014,-675.347,683.176,89.727,-39.072,12.284
0.105,-45.116,-102.901,-70.811,-6.035,57.229,-141.064,321.011,-675.341,683.188,89.726,-39.072,12.285
0.115,-45.116,-102.900,-70.810,-6.035,57.229,-141.065,321.010,-675.332,683.202,89.725,-39.073,12.287
0.125,-45.115,-102.900,-70.810,-6.035,57.229,-141.064,321.010,-675.330,683.206,89.724,-39.073,12.287
0.135,-45.115,-102.900,-70.810,-6.035,57.229,-141.064,321.017,-675.323,683.210,89.724,-39.073,12.288
0.145,-45.114,-102.900,-70.811,-6.035,57.229,-141.064,321.022,-675.323,683.205,89.724,-39.073,12.288
0.154,-45.115,-102.900,-70.811,-6.035,57.229,-141.065,321.019,-675.323,683.205,89.725,-39.073,12.288
0.164,-45.114,-102.900,-70.810,-6.035,57.229,-141.064,321.025,-675.321,683.207,89.724,-39.073,12.289
0.174,-45.114,-102.900,-70.811,-6.035,57.229,-141.065,321.022,-675.323,683.206,89.724,-39.073,12.288
