t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.000,-45.132,-102.872,-70.786,-6.027,57.230,-141.017,320.595,-675.184,683.841,89.658,-39.153,12.313
0.010,-45.132,-102.872,-70.785,-6.027,57.230,-141.017,320.594,-675.184,683.843,89.657,-39.153,12.313
0.018,-45.132,-102.873,-70.786,-6.026,57.230,-141.017,320.602,-675.185,683.835,89.658,-39.153,12.314
0.029,-45.132,-102.873,-70.786,-6.027,57.230,-141.017,320.604,-675.184,683.836,89.658,-39.153,12.314
0.041,-45.132,-102.873,-70.786,-6.027,57.230,-141.017,320.609,-675.185,683.830,89.659,-39.152,12.313
0.050,-45.131,-102.873,-70.785,-6.028,57.231,-141.017,320.615,-675.182,683.832,89.659,-39.152,12.314
0.057,-45.131,-102.873,-70.785,-6.028,57.231,-141.017,320.620,-675.178,683.838,89.659,-39.153,12.315
0.069,-45.131,-102.872,-70.784,-6.028,57.231,-141.017,320.621,-675.173,683.848,89.658,-39.153,12.316
0.078,-45.130,-102.871,-70.783,-6.028,57.231,-141.017,320.626,-675.161,683.868,89.656,-39.154,12.318
0.089,-45.130,-102.871,-70.782,-6.028,57.232,-141.017,320.620,-675.157,683.887,89.654,-39.155,12.320
0.097,-45.130,-102.871,-70.782,-6.028,57.232,-141.017,320.622,-675.152,683.895,89.654,-39.155,12.321
0.109,-45.129,-102.870,-70.782,-6.029,57.233,-141.017,320.628,-675.149,683.895,89.654,-39.155,12.321
0.118,-45.127,-102.870,-70.781,-6.030,57.233,-141.017,320.649,-675.136,683.904,89.654,-39.155,12.323
0.129,-45.126,-102.871,-70.780,-6.030,57.233,-141.017,320.664,-675.131,683.906,89.654,-39.155,12.325
0.138,-45.125,-102.882,-70.784,-6.040,57.235,-141.020,320.781,-675.221,683.676,89.682,-39.138,12.310
0.149,-45.123,-102.880,-70.770,-6.056,57.234,-141.025,320.775,-675.192,683.795,89.682,-39.133,12.311
0.157,-45.125,-102.878,-70.759,-6.064,57.232,-141.030,320.717,-675.178,683.911,89.676,-39.132,12.311
0.169,-45.129,-102.872,-70.746,-6.071,57.226,-141.036,320.596,-675.153,684.094,89.663,-39.132,12.309
0.178,-45.127,-102.874,-70.733,-6.080,57.219,-141.038,320.579,-675.149,684.183,89.660,-39.131,12.306
0.189,-45.130,-102.873,-70.726,-6.085,57.214,-141.039,320.513,-675.159,684.245,89.658,-39.132,12.299
0.198,-45.133,-102.869,-70.708,-6.099,57.204,-141.041,320.398,-675.141,684.433,89.649,-39.134,12.293
0.207,-45.132,-102.873,-70.689,-6.118,57.197,-141.047,320.392,-675.161,684.508,89.654,-39.126,12.283
0.220,-45.134,-102.875,-70.680,-6.137,57.194,-141.051,320.376,-675.194,684.508,89.667,-39.115,12.270
0.229,-45.140,-102.876,-70.666,-6.180,57.188,-141.058,320.304,-675.260,684.487,89.699,-39.092,12.238
0.239,-45.144,-102.876,-70.656,-6.252,57.182,-141.065,320.280,-675.353,684.321,89.766,-39.052,12.185
0.249,-45.147,-102.877,-70.652,-6.298,57.178,-141.068,320.281,-675.414,684.180,89.812,-39.026,12.150
0.258,-45.155,-102.878,-70.652,-6.432,57.165,-141.070,320.266,-675.622,683.655,89.959,-38.950,12.035
