t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.000,-45.130,-102.849,-70.766,-6.085,57.179,-141.111,320.243,-675.098,684.119,89.676,-39.051,12.253
0.010,-45.129,-102.851,-70.765,-6.086,57.180,-141.111,320.263,-675.104,684.107,89.677,-39.050,12.254
0.020,-45.127,-102.854,-70.770,-6.087,57.180,-141.111,320.326,-675.122,684.004,89.688,-39.045,12.250
0.030,-45.129,-102.851,-70.767,-6.086,57.180,-141.111,320.271,-675.111,684.071,89.680,-39.048,12.252
0.039,-45.127,-102.850,-70.763,-6.086,57.180,-141.111,320.282,-675.085,684.130,89.675,-39.051,12.258
0.050,-45.126,-102.853,-70.766,-6.086,57.181,-141.111,320.320,-675.100,684.071,89.681,-39.048,12.256
0.059,-45.127,-102.857,-70.766,-6.087,57.181,-141.111,320.335,-675.131,684.018,89.686,-39.046,12.252
0.069,-45.127,-102.858,-70.766,-6.086,57.181,-141.111,320.343,-675.143,683.999,89.687,-39.045,12.250
0.080,-45.125,-102.861,-70.767,-6.087,57.182,-141.111,320.399,-675.147,683.954,89.692,-39.043,12.251
0.090,-45.128,-102.865,-70.768,-6.086,57.181,-141.111,320.388,-675.193,683.893,89.697,-39.040,12.244
0.099,-45.128,-102.868,-70.770,-6.087,57.181,-141.111,320.408,-675.219,683.837,89.702,-39.037,12.240
0.110,-45.127,-102.876,-70.772,-6.088,57.181,-141.111,320.477,-675.271,683.714,89.714,-39.032,12.234
0.119,-45.128,-102.886,-70.772,-6.088,57.181,-141.111,320.534,-675.339,683.601,89.724,-39.027,12.227
0.130,-45.127,-102.894,-70.771,-6.087,57.181,-141.111,320.590,-675.392,683.506,89.732,-39.023,12.222
0.139,-45.127,-102.903,-70.770,-6.087,57.181,-141.111,320.653,-675.449,683.406,89.741,-39.018,12.217
0.150,-45.128,-102.904,-70.770,-6.088,57.181,-141.111,320.650,-675.463,683.389,89.742,-39.018,12.215
0.159,-45.129,-102.905,-70.771,-6.087,57.181,-141.111,320.651,-675.477,683.363,89.745,-39.016,12.213
0.170,-45.129,-102.910,-70.773,-6.087,57.180,-141.111,320.676,-675.512,683.286,89.752,-39.013,12.207
0.179,-45.130,-102.915,-70.774,-6.088,57.180,-141.112,320.702,-675.554,683.211,89.759,-39.009,12.202
0.190,-45.130,-102.918,-70.775,-6.087,57.179,-141.112,320.722,-675.579,683.161,89.763,-39.007,12.198
0.199,-45.130,-102.926,-70.776,-6.088,57.180,-141.112,320.778,-675.630,683.056,89.773,-39.002,12.193
0.210,-45.131,-102.933,-70.775,-6.088,57.180,-141.112,320.815,-675.684,682.975,89.780,-38.998,12.187
0.219,-45.131,-102.937,-70.775,-6.088,57.180,-141.112,320.832,-675.714,682.926,89.784,-38.996,12.184
0.230,-45.133,-102.945,-70.776,-6.088,57.180,-141.112,320.869,-675.780,682.813,89.794,-38.991,12.176
0.239,-45.136,-102.962,-70.776,-6.088,57.179,-141.112,320.942,-675.909,682.609,89.812,-38.982,12.161
0.249,-45.137,-102.971,-70.777,-6.087,57.179,-141.112,320.990,-675.975,682.497,89.821,-38.978,12.154
0.259,-45.139,-102.993,-70.779,-6.087,57.179,-141.112,321.110,-676.135,682.209,89.847,-38.964,12.135
0.270,-45.141,-103.015,-70.781,-6.088,57.178,-141.112,321.235,-676.297,681.918,89.873,-38.951,12.117
0.279,-45.142,-103.022,-70.781,-6.087,57.178,-141.112,321.278,-676.347,681.827,89.881,-38.948,12.111
0.289,-45.143,-103.041,-70.782,-6.087,57.178,-141.112,321.399,-676.485,681.576,89.903,-38.936,12.096
0.300,-45.145,-103.049,-70.784,-6.087,57.178,-141.113,321.422,-676.558,681.453,89.914,-38.930,12.086
0.309,-45.146,-103.052,-70.786,-6.087,57.178,-141.113,321.429,-676.581,681.410,89.918,-38.928,12.083
0.319,-45.147,-103.060,-70.789,-6.087,57.178,-141.113,321.479,-676.648,681.270,89.931,-38.922,12.074
0.329,-45.149,-103.077,-70.792,-6.087,57.177,-141.113,321.572,-676.779,681.028,89.952,-38.911,12.058
0.339,-45.150,-103.087,-70.792,-6.087,57.177,-141.113,321.629,-676.850,680.904,89.963,-38.906,12.050
0.349,-45.150,-103.104,-70.792,-6.086,57.177,-141.113,321.733,-676.964,680.697,89.981,-38.896,12.038
0.359,-45.152,-103.118,-70.795,-6.086,57.176,-141.113,321.808,-677.076,680.493,89.999,-38.887,12.024
0.369,-45.154,-103.125,-70.796,-6.086,57.176,-141.113,321.828,-677.129,680.408,90.006,-38.884,12.018
0.379,-45.158,-103.133,-70.798,-6.085,57.176,-141.113,321.841,-677.214,680.280,90.017,-38.878,12.007
0.392,-45.172,-103.146,-70.797,-6.085,57.175,-141.113,321.758,-677.372,680.134,90.030,-38.872,11.985
0.399,-45.180,-103.150,-70.798,-6.085,57.175,-141.113,321.695,-677.447,680.071,90.036,-38.869,11.973
0.410,-45.191,-103.157,-70.799,-6.085,57.175,-141.114,321.605,-677.557,679.979,90.044,-38.864,11.956
0.419,-45.204,-103.163,-70.799,-6.084,57.175,-141.114,321.490,-677.671,679.906,90.050,-38.861,11.939
0.429,-45.217,-103.165,-70.799,-6.085,57.174,-141.114,321.346,-677.756,679.884,90.052,-38.860,11.925
0.439,-45.249,-103.165,-70.798,-6.084,57.174,-141.114,320.971,-677.932,679.892,90.050,-38.861,11.894
0.450,-45.289,-103.165,-70.798,-6.083,57.174,-141.114,320.489,-678.159,679.893,90.050,-38.861,11.854
0.459,-45.322,-103.165,-70.798,-6.083,57.175,-141.114,320.109,-678.346,679.885,90.050,-38.861,11.821
0.470,-45.379,-103.167,-70.798,-6.083,57.175,-141.114,319.440,-678.677,679.865,90.052,-38.860,11.763
