t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.651,-675.217,683.740,89.668,-39.147,12.308
0.011,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.651,-675.217,683.739,89.668,-39.147,12.308
0.019,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.651,-675.215,683.743,89.667,-39.147,12.308
0.030,-45.131,-102.878,-70.789,-6.027,57.229,-141.018,320.652,-675.218,683.738,89.668,-39.147,12.307
0.039,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.651,-675.216,683.741,89.667,-39.147,12.308
0.049,-45.131,-102.878,-70.789,-6.027,57.229,-141.018,320.652,-675.219,683.736,89.668,-39.147,12.307
0.059,-45.131,-102.878,-70.789,-6.027,57.229,-141.018,320.651,-675.218,683.738,89.668,-39.147,12.307
0.069,-45.131,-102.878,-70.789,-6.027,57.229,-141.018,320.651,-675.219,683.734,89.668,-39.147,12.307
0.078,-45.130,-102.877,-70.789,-6.027,57.229,-141.018,320.654,-675.216,683.738,89.668,-39.147,12.308
0.088,-45.131,-102.878,-70.789,-6.027,57.229,-141.018,320.652,-675.218,683.738,89.668,-39.147,12.307
0.100,-45.131,-102.878,-70.789,-6.027,57.229,-141.018,320.650,-675.219,683.738,89.668,-39.147,12.307
0.108,-45.131,-102.877,-70.789,-6.027,57.229,-141.019,320.651,-675.217,683.740,89.668,-39.147,12.308
0.118,-45.131,-102.877,-70.789,-6.027,57.229,-141.019,320.649,-675.218,683.738,89.668,-39.147,12.307
0.129,-45.131,-102.878,-70.789,-6.027,57.228,-141.019,320.648,-675.219,683.736,89.668,-39.147,12.307
0.138,-45.131,-102.878,-70.789,-6.027,57.228,-141.019,320.651,-675.218,683.736,89.668,-39.147,12.307
0.148,-45.131,-102.878,-70.789,-6.027,57.228,-141.019,320.649,-675.220,683.734,89.668,-39.146,12.307
0.158,-45.131,-102.878,-70.789,-6.027,57.228,-141.019,320.650,-675.221,683.732,89.669,-39.146,12.306
0.168,-45.131,-102.878,-70.789,-6.027,57.229,-141.019,320.650,-675.220,683.734,89.668,-39.146,12.307
0.179,-45.131,-102.877,-70.789,-6.027,57.228,-141.019,320.647,-675.218,683.739,89.668,-39.147,12.307
0.188,-45.131,-102.877,-70.789,-6.027,57.228,-141.019,320.647,-675.218,683.740,89.668,-39.147,12.307
0.198,-45.131,-102.877,-70.789,-6.027,57.228,-141.019,320.647,-675.216,683.743,89.667,-39.147,12.307
0.208,-45.131,-102.877,-70.789,-6.027,57.228,-141.019,320.649,-675.217,683.741,89.667,-39.147,12.307
0.218,-45.131,-102.877,-70.789,-6.027,57.228,-141.018,320.646,-675.218,683.739,89.668,-39.147,12.307
0.228,-45.131,-102.877,-70.789,-6.027,57.228,-141.019,320.646,-675.218,683.738,89.668,-39.147,12.307
0.238,-45.131,-102.877,-70.789,-6.027,57.228,-141.019,320.644,-675.218,683.742,89.667,-39.147,12.307
0.248,-45.131,-102.877,-70.789,-6.027,57.227,-141.019,320.640,-675.220,683.741,89.667,-39.147,12.306
0.258,-45.131,-102.877,-70.789,-6.027,57.226,-141.019,320.637,-675.220,683.739,89.668,-39.147,12.305
0.268,-45.131,-102.877,-70.789,-6.027,57.226,-141.019,320.635,-675.220,683.740,89.667,-39.147,12.305
