t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.123,-102.908,-70.804,-6.028,57.220,-141.054,320.916,-675.415,683.199,89.719,-39.087,12.273
0.017,-45.124,-102.909,-70.805,-6.029,57.220,-141.054,320.910,-675.429,683.180,89.721,-39.085,12.271
0.025,-45.125,-102.909,-70.805,-6.029,57.219,-141.054,320.903,-675.435,683.178,89.721,-39.085,12.270
0.035,-45.125,-102.909,-70.805,-6.028,57.219,-141.054,320.899,-675.437,683.179,89.721,-39.085,12.270
0.046,-45.126,-102.909,-70.805,-6.029,57.219,-141.054,320.886,-675.444,683.175,89.721,-39.085,12.268
0.056,-45.127,-102.910,-70.805,-6.029,57.219,-141.054,320.881,-675.456,683.163,89.723,-39.085,12.266
0.067,-45.127,-102.910,-70.805,-6.029,57.219,-141.054,320.882,-675.459,683.158,89.723,-39.084,12.266
0.076,-45.127,-102.913,-70.805,-6.030,57.219,-141.054,320.902,-675.473,683.124,89.727,-39.083,12.264
0.089,-45.126,-102.916,-70.806,-6.030,57.220,-141.054,320.947,-675.490,683.068,89.732,-39.080,12.263
0.095,-45.125,-102.918,-70.807,-6.030,57.220,-141.054,320.975,-675.499,683.035,89.735,-39.078,12.262
0.106,-45.123,-102.922,-70.808,-6.031,57.221,-141.054,321.025,-675.518,682.975,89.741,-39.075,12.261
0.118,-45.121,-102.925,-70.809,-6.031,57.221,-141.054,321.070,-675.532,682.926,89.746,-39.073,12.260
0.126,-45.121,-102.927,-70.809,-6.031,57.221,-141.054,321.084,-675.540,682.909,89.747,-39.073,12.260
0.136,-45.120,-102.930,-70.808,-6.031,57.221,-141.054,321.113,-675.551,682.880,89.749,-39.071,12.259
0.146,-45.120,-102.931,-70.809,-6.031,57.221,-141.054,321.126,-675.557,682.864,89.751,-39.071,12.259
0.156,-45.119,-102.932,-70.809,-6.031,57.221,-141.054,321.142,-675.560,682.850,89.752,-39.070,12.258
0.165,-45.118,-102.934,-70.809,-6.031,57.221,-141.053,321.176,-675.573,682.810,89.756,-39.068,12.257
0.176,-45.118,-102.938,-70.810,-6.031,57.221,-141.053,321.201,-675.601,682.755,89.761,-39.066,12.254
0.185,-45.118,-102.941,-70.810,-6.031,57.221,-141.054,321.218,-675.621,682.717,89.764,-39.064,12.251
0.196,-45.119,-102.949,-70.811,-6.031,57.221,-141.054,321.260,-675.678,682.614,89.774,-39.059,12.244
0.205,-45.120,-102.958,-70.812,-6.031,57.220,-141.054,321.307,-675.749,682.487,89.785,-39.054,12.236
0.215,-45.121,-102.962,-70.813,-6.032,57.220,-141.053,321.328,-675.784,682.421,89.791,-39.051,12.231
0.226,-45.122,-102.970,-70.815,-6.032,57.219,-141.053,321.366,-675.847,682.305,89.802,-39.046,12.222
0.236,-45.123,-102.979,-70.817,-6.032,57.218,-141.053,321.404,-675.917,682.178,89.814,-39.040,12.212
0.246,-45.125,-102.982,-70.818,-6.033,57.218,-141.053,321.414,-675.951,682.118,89.819,-39.037,12.207
0.256,-45.127,-102.989,-70.821,-6.033,57.216,-141.053,321.429,-676.021,681.998,89.830,-39.031,12.196
0.265,-45.130,-103.001,-70.823,-6.033,57.215,-141.053,321.471,-676.117,681.835,89.845,-39.024,12.183
0.276,-45.131,-103.007,-70.824,-6.033,57.215,-141.053,321.500,-676.162,681.756,89.852,-39.021,12.177
0.285,-45.133,-103.025,-70.825,-6.033,57.214,-141.053,321.596,-676.299,681.518,89.873,-39.010,12.161
0.296,-45.135,-103.040,-70.827,-6.033,57.211,-141.053,321.665,-676.418,681.307,89.892,-39.001,12.144
0.306,-45.136,-103.046,-70.830,-6.033,57.210,-141.053,321.687,-676.468,681.207,89.902,-38.996,12.136
0.315,-45.139,-103.060,-70.837,-6.034,57.205,-141.053,321.732,-676.593,680.959,89.925,-38.985,12.114
0.326,-45.144,-103.076,-70.847,-6.034,57.197,-141.053,321.763,-676.753,680.650,89.953,-38.970,12.082
0.335,-45.147,-103.086,-70.852,-6.034,57.192,-141.053,321.778,-676.844,680.477,89.969,-38.963,12.064
0.346,-45.154,-103.109,-70.861,-6.034,57.180,-141.053,321.810,-677.061,680.097,90.004,-38.945,12.024
0.356,-45.165,-103.134,-70.875,-6.034,57.163,-141.052,321.792,-677.331,679.639,90.046,-38.924,11.969
0.366,-45.174,-103.147,-70.886,-6.034,57.151,-141.053,321.735,-677.493,679.357,90.073,-38.911,11.932
0.376,-45.203,-103.177,-70.916,-6.034,57.124,-141.053,321.516,-677.929,678.666,90.137,-38.878,11.835
0.387,-45.246,-103.209,-70.949,-6.034,57.100,-141.052,321.160,-678.452,677.920,90.207,-38.843,11.724
0.396,-45.279,-103.227,-70.973,-6.034,57.092,-141.052,320.879,-678.804,677.442,90.253,-38.820,11.654
0.405,-45.382,-103.273,-71.037,-6.034,57.087,-141.052,320.034,-679.788,676.194,90.371,-38.760,11.472
0.416,-45.503,-103.321,-71.111,-6.035,57.087,-141.052,319.026,-680.895,674.806,90.502,-38.693,11.269
0.426,-45.582,-103.351,-71.157,-6.035,57.086,-141.052,318.350,-681.597,673.952,90.583,-38.652,11.139
0.435,-45.761,-103.416,-71.265,-6.034,57.084,-141.052,316.789,-683.193,671.978,90.769,-38.556,10.841
0.446,-45.984,-103.484,-71.386,-6.034,57.081,-141.052,314.726,-685.047,669.858,90.969,-38.453,10.492
0.455,-46.113,-103.514,-71.460,-6.034,57.081,-141.051,313.470,-686.062,668.698,91.079,-38.396,10.294
0.466,-46.393,-103.573,-71.633,-6.034,57.080,-141.051,310.726,-688.235,666.099,91.326,-38.267,9.859
0.476,-46.689,-103.629,-71.852,-6.032,57.076,-141.051,307.790,-690.513,663.065,91.615,-38.115,9.380
0.485,-46.848,-103.653,-71.981,-6.031,57.073,-141.051,306.166,-691.700,661.403,91.774,-38.031,9.120
0.496,-47.189,-103.684,-72.272,-6.032,57.068,-141.051,302.586,-694.115,657.897,92.112,-37.850,8.567
0.506,-47.562,-103.706,-72.590,-6.032,57.069,-141.050,298.579,-696.638,654.208,92.468,-37.658,7.976
0.518,-47.760,-103.717,-72.756,-6.032,57.069,-141.049,296.432,-697.950,652.292,92.652,-37.559,7.667
0.526,-48.197,-103.732,-73.144,-6.030,57.071,-141.049,291.641,-700.778,647.941,93.067,-37.331,6.979
0.544,-48.596,-103.735,-73.503,-6.030,57.076,-141.049,287.173,-703.242,644.048,93.440,-37.124,6.360
0.546,-48.828,-103.733,-73.712,-6.029,57.078,-141.049,284.539,-704.630,641.823,93.651,-37.005,6.002
0.555,-49.361,-103.738,-74.158,-6.029,57.085,-141.049,278.472,-707.788,636.947,94.113,-36.745,5.200
0.566,-49.834,-103.742,-74.540,-6.026,57.094,-141.049,273.025,-710.494,632.798,94.501,-36.523,4.504
0.575,-50.102,-103.743,-74.748,-6.027,57.102,-141.049,269.931,-711.986,630.535,94.713,-36.401,4.118
0.588,-50.668,-103.743,-75.183,-6.023,57.122,-141.049,263.333,-715.048,625.845,95.148,-36.150,3.315
0.595,-51.262,-103.749,-75.593,-6.019,57.149,-141.049,256.366,-718.152,621.358,95.560,-35.909,2.504
0.606,-51.569,-103.752,-75.794,-6.015,57.166,-141.049,252.757,-719.710,619.157,95.760,-35.792,2.098
0.616,-52.202,-103.761,-76.181,-6.004,57.212,-141.049,245.295,-722.839,614.878,96.146,-35.566,1.285
0.626,-52.855,-103.766,-76.563,-5.990,57.278,-141.049,237.603,-725.902,610.725,96.518,-35.350,0.482
0.636,-53.185,-103.767,-76.744,-5.982,57.322,-141.049,233.724,-727.391,608.772,96.693,-35.250,0.095
0.646,-53.862,-103.766,-77.062,-5.962,57.432,-141.049,225.779,-730.305,605.370,96.994,-35.082,-0.646
0.657,-54.538,-103.765,-77.333,-5.932,57.587,-141.049,217.978,-733.052,602.512,97.242,-34.953,-1.311
0.665,-54.878,-103.766,-77.451,-5.913,57.688,-141.050,214.134,-734.391,601.270,97.348,-34.903,-1.611
0.675,-55.562,-103.764,-77.660,-5.862,57.924,-141.050,206.493,-736.963,599.146,97.523,-34.833,-2.161
0.686,-56.240,-103.762,-77.828,-5.790,58.204,-141.051,199.065,-739.375,597.536,97.641,-34.805,-2.629
0.696,-56.583,-103.760,-77.908,-5.740,58.359,-141.050,195.338,-740.541,596.850,97.682,-34.806,-2.842
