t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.125,-102.954,-70.811,-6.028,57.226,-141.066,321.237,-675.741,682.567,89.775,-39.046,12.242
0.014,-45.125,-102.962,-70.811,-6.028,57.226,-141.066,321.289,-675.794,682.469,89.784,-39.042,12.237
0.024,-45.125,-102.976,-70.813,-6.029,57.227,-141.066,321.392,-675.889,682.274,89.802,-39.033,12.226
0.033,-45.124,-102.987,-70.814,-6.030,57.227,-141.066,321.476,-675.967,682.115,89.817,-39.025,12.217
0.051,-45.125,-102.993,-70.814,-6.030,57.227,-141.066,321.516,-676.009,682.037,89.824,-39.022,12.213
0.053,-45.125,-103.008,-70.815,-6.031,57.227,-141.066,321.613,-676.110,681.845,89.841,-39.013,12.202
0.063,-45.125,-103.026,-70.814,-6.030,57.227,-141.066,321.723,-676.234,681.632,89.860,-39.004,12.189
0.074,-45.125,-103.035,-70.814,-6.030,57.227,-141.066,321.785,-676.291,681.526,89.869,-39.000,12.184
0.083,-45.124,-103.049,-70.816,-6.030,57.226,-141.066,321.888,-676.382,681.339,89.886,-38.991,12.174
0.093,-45.124,-103.060,-70.817,-6.030,57.226,-141.066,321.969,-676.457,681.186,89.899,-38.985,12.165
0.103,-45.123,-103.066,-70.818,-6.030,57.226,-141.066,322.018,-676.492,681.108,89.906,-38.981,12.162
0.115,-45.122,-103.075,-70.820,-6.031,57.227,-141.066,322.103,-676.549,680.969,89.919,-38.975,12.156
0.123,-45.120,-103.083,-70.820,-6.030,57.227,-141.065,322.173,-676.594,680.871,89.928,-38.971,12.152
0.133,-45.119,-103.086,-70.821,-6.031,57.227,-141.065,322.211,-676.611,680.819,89.933,-38.968,12.150
0.143,-45.115,-103.093,-70.824,-6.031,57.227,-141.065,322.317,-676.637,680.696,89.944,-38.963,12.148
0.154,-45.110,-103.099,-70.828,-6.031,57.227,-141.065,322.412,-676.655,680.591,89.954,-38.958,12.146
0.163,-45.107,-103.101,-70.830,-6.031,57.227,-141.065,322.467,-676.659,680.535,89.959,-38.956,12.146
0.174,-45.100,-103.105,-70.835,-6.031,57.228,-141.065,322.592,-676.647,680.437,89.968,-38.951,12.148
0.183,-45.087,-103.105,-70.838,-6.030,57.227,-141.065,322.738,-676.582,680.411,89.970,-38.950,12.159
0.193,-45.080,-103.105,-70.838,-6.029,57.227,-141.065,322.820,-676.544,680.409,89.970,-38.950,12.166
