t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.009,-45.125,-102.912,-70.803,-6.026,57.209,-141.060,320.868,-675.464,683.163,89.720,-39.080,12.260
0.019,-45.125,-102.913,-70.803,-6.026,57.209,-141.060,320.869,-675.465,683.160,89.720,-39.079,12.260
0.029,-45.125,-102.912,-70.803,-6.026,57.209,-141.060,320.869,-675.463,683.164,89.720,-39.080,12.260
0.039,-45.125,-102.913,-70.804,-6.026,57.209,-141.060,320.872,-675.466,683.156,89.721,-39.079,12.260
0.049,-45.125,-102.913,-70.804,-6.026,57.209,-141.060,320.874,-675.463,683.158,89.721,-39.080,12.260
0.059,-45.125,-102.913,-70.803,-6.026,57.209,-141.060,320.871,-675.466,683.158,89.721,-39.080,12.260
0.069,-45.125,-102.913,-70.803,-6.026,57.209,-141.060,320.872,-675.463,683.160,89.720,-39.080,12.260
0.078,-45.125,-102.913,-70.804,-6.026,57.208,-141.060,320.868,-675.465,683.158,89.721,-39.079,12.259
0.088,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.865,-675.465,683.162,89.720,-39.080,12.259
0.099,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.865,-675.465,683.160,89.720,-39.080,12.259
0.110,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.866,-675.465,683.160,89.720,-39.079,12.259
0.118,-45.125,-102.912,-70.804,-6.026,57.208,-141.060,320.867,-675.463,683.161,89.720,-39.079,12.259
0.129,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.865,-675.465,683.160,89.720,-39.079,12.259
0.139,-45.125,-102.912,-70.803,-6.026,57.208,-141.060,320.864,-675.464,683.163,89.720,-39.080,12.259
0.149,-45.125,-102.912,-70.803,-6.026,57.208,-141.060,320.865,-675.464,683.163,89.720,-39.080,12.259
0.159,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.865,-675.465,683.160,89.720,-39.079,12.259
0.169,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.866,-675.467,683.157,89.721,-39.079,12.258
0.179,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.865,-675.465,683.162,89.720,-39.080,12.259
0.189,-45.125,-102.913,-70.803,-6.026,57.207,-141.060,320.865,-675.467,683.158,89.721,-39.079,12.258
0.199,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.864,-675.468,683.158,89.721,-39.079,12.258
0.210,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.865,-675.467,683.158,89.721,-39.080,12.259
0.218,-45.125,-102.913,-70.803,-6.026,57.207,-141.060,320.865,-675.467,683.157,89.721,-39.079,12.258
0.229,-45.125,-102.912,-70.803,-6.026,57.208,-141.060,320.862,-675.462,683.168,89.719,-39.080,12.259
0.239,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.863,-675.466,683.160,89.720,-39.079,12.258
0.249,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.865,-675.465,683.160,89.720,-39.079,12.259
0.259,-45.125,-102.913,-70.803,-6.026,57.208,-141.060,320.866,-675.467,683.157,89.721,-39.079,12.258
